"value","s.e."
"(Intercept)",2.94565806950668,0.0214381049203718
"Quarters",0.000518308595493931,0.000686919420703112
"ListAge",-0.00211171350757213,0.000208784097468834
"Floor",0.00995902212923877,0.00100099748978605
"BldgClass2_ClassB",-0.206947948191995,0.00692529924821042
"BldgClass3_ClassC",-0.295696680344258,0.00988323394164327
"ST1_Net",0.0374056471134651,0.0163840318781735
"ST2_Between",0.0640329402298839,0.0158816182096754
"ST3_FullService",0.120392478079808,0.0151254517455133
"QuarterOff2005Q3",-0.000500885723119019,0.0191012158472636
"QuarterOff2005Q4",0.00858625855836429,0.0191304727429263
"QuarterOff2006Q1",0.0312516388502958,0.0190294646349102
"QuarterOff2006Q2",0.00308234350428839,0.0183044530025064
"QuarterOff2006Q3",0.0383602492356506,0.0190665790524287
"QuarterOff2006Q4",0.0372205740774808,0.0192292527224583
"QuarterOff2007Q1",0.0699767579790361,0.0193704933296536
"QuarterOff2007Q2",0.0712821845488743,0.019930886135844
"QuarterOff2007Q3",0.0823324226000356,0.0189281693590101
"QuarterOff2007Q4",0.0710829084468285,0.0202715749411984
"QuarterOff2008Q1",0.0536276145242871,0.0186747377572824
"QuarterOff2008Q2",0.0619176861615136,0.0200206503869983
"QuarterOff2008Q3",0.0578922411750888,0.0196550585843842
"QuarterOff2008Q4",0.0627417660811725,0.0195043442771714
"QuarterOff2009Q1",0.0424779837573233,0.0207674777307249
"QuarterOff2009Q2",0.0125557950906878,0.0190698653372856
"QuarterOff2009Q3",0.026785995645441,0.0190586080317525
"QuarterOff2009Q4",0.0487204011458916,0.0192865873537934
"QuarterOff2010Q1",0.023215767052202,0.0198817995598068
"QuarterOff2010Q2",0.058434476128334,0.0200032834798238
"QuarterOff2010Q3",0.0517304089349116,0.0188386529437038
"QuarterOff2010Q4",0.0472377824320888,0.0194789296861145
"QuarterOff2011Q1",0.0765867508472782,0.0200951887653294
"QuarterOff2011Q2",0.0689849389593665,0.0199636399538515
"QuarterOff2011Q3",0.0637476145592152,0.018886455819893
"QuarterOff2011Q4",0.0413783281990071,0.0201878455612845
"Lambda",0.594229755192018,0.0167058068088528
