"value","s.e."
"(Intercept)",2.91583130695619,0.0144733280458249
"Quarters",-0.000435523008942132,0.000336779601269269
"ListAge",-0.00131545352106073,0.000111787661119485
"Floor",0.00397872031401304,0.000218126421272367
"BldgClass2_ClassB",-0.111003193432032,0.00406175738489517
"BldgClass3_ClassC",-0.198669579657163,0.00514103505355087
"ST1_Net",-0.19572665393203,0.0116943570677161
"ST2_Between",0.0325570356322882,0.0124575016675688
"ST3_FullService",0.0742148429600716,0.0113807972363817
"QuarterOff2005Q3",0.0368380513544626,0.010097860226203
"QuarterOff2005Q4",0.00449056989119993,0.00985513780450932
"QuarterOff2006Q1",0.0128868442778841,0.0104306177778868
"QuarterOff2006Q2",0.0288034503560161,0.0100372596234191
"QuarterOff2006Q3",0.0401104180016281,0.00967413098551967
"QuarterOff2006Q4",0.0494394507703565,0.0105796689457131
"QuarterOff2007Q1",0.0457013515691446,0.00975775005989478
"QuarterOff2007Q2",0.0682053138672877,0.00986492227333337
"QuarterOff2007Q3",0.0899696702912769,0.0102162625372589
"QuarterOff2007Q4",0.095121142565319,0.0103949255600458
"QuarterOff2008Q1",0.0986006394811376,0.0102793208567293
"QuarterOff2008Q2",0.0974062596458198,0.0104119549686542
"QuarterOff2008Q3",0.106456217686654,0.010585970548587
"QuarterOff2008Q4",0.0899222127553419,0.0107311708753639
"QuarterOff2009Q1",0.0912077216637362,0.0111932458881535
"QuarterOff2009Q2",0.0760205627984091,0.0107904280515855
"QuarterOff2009Q3",0.0447617092675568,0.0106605192742827
"QuarterOff2009Q4",0.0733515688936651,0.0105776091844061
"QuarterOff2010Q1",0.0237081666184685,0.0104731384741422
"QuarterOff2010Q2",0.0164269267999134,0.0103759971283684
"QuarterOff2010Q3",0.0438575010765951,0.00977408574413264
"QuarterOff2010Q4",0.0291773308345352,0.00996351507264281
"QuarterOff2011Q1",0.0183487076736501,0.00994382123773019
"QuarterOff2011Q2",0.0347414489618389,0.00970186430502636
"QuarterOff2011Q3",0.0458158301820149,0.0103487254270134
"QuarterOff2011Q4",0.0238619805672428,0.00970583899377773
"Lambda",0.690454128517404,0.0094811818034014
