"value","s.e."
"(Intercept)",3.20168085850199,0.02152712525014
"Quarters",0.000770549361281531,0.000775154284931973
"ListAge",-0.00128295432094981,0.000197221852913666
"Floor",0.0144647560648839,0.00116273401209165
"BldgClass2_ClassB",-0.15474853443572,0.00676980513761652
"BldgClass3_ClassC",-0.235681840138618,0.00863716115355228
"ST1_Net",-0.0268593262020096,0.0165723780187186
"ST2_Between",-0.0205113952827823,0.0220356026729621
"ST3_FullService",0.0236835096968695,0.014187647751005
"QuarterOff2005Q3",-0.0286286815184392,0.0147669703508976
"QuarterOff2005Q4",0.00201265083645003,0.0157839740894785
"QuarterOff2006Q1",0.00018105632568538,0.0149639710120344
"QuarterOff2006Q2",0.0416373497958127,0.0155183833561132
"QuarterOff2006Q3",0.0383296980209198,0.0168959418411014
"QuarterOff2006Q4",0.0917943149676557,0.019588728715161
"QuarterOff2007Q1",0.0881604779504763,0.0164412372474424
"QuarterOff2007Q2",0.0837857799840278,0.0185491098377141
"QuarterOff2007Q3",0.10645375608704,0.0195745576422442
"QuarterOff2007Q4",0.0826002342397323,0.0194974887403854
"QuarterOff2008Q1",0.0649609750865711,0.0170895255675951
"QuarterOff2008Q2",0.0666086601526266,0.0185264068111888
"QuarterOff2008Q3",0.0960286347319805,0.0174029695548505
"QuarterOff2008Q4",0.102478250212034,0.0179772722939074
"QuarterOff2009Q1",0.0713115844471791,0.017044262480189
"QuarterOff2009Q2",0.0573873582506344,0.0166548676027499
"QuarterOff2009Q3",0.0470301890934507,0.0159461243775467
"QuarterOff2009Q4",-0.0129255545630654,0.0172205749551056
"QuarterOff2010Q1",-0.0112509312966874,0.0159385831299985
"QuarterOff2010Q2",-0.0204402238645919,0.0160137494854018
"QuarterOff2010Q3",0.0135807472057623,0.0167534787844064
"QuarterOff2010Q4",-0.0185042260027097,0.0162574974733791
"QuarterOff2011Q1",-0.0214822460109368,0.0161193645944122
"QuarterOff2011Q2",-0.0127150048459573,0.0160612092259957
"QuarterOff2011Q3",-0.0291912243039569,0.0156106731193061
"QuarterOff2011Q4",-0.0238174711932765,0.0162538934668178
"Lambda",0.758704679108804,0.0130698721312114
