"value","s.e."
"(Intercept)",2.93731779465555,0.0217025446303015
"Quarters",-0.000105709059924629,0.00070788466179606
"ListAge",-0.00189611928168415,0.000270156172495936
"Floor",0.00504526308886084,0.000659210010202153
"BldgClass2_ClassB",-0.209336764552015,0.00734206872628797
"BldgClass3_ClassC",-0.3173657081435,0.00840230873935776
"ST1_Net",-0.124128940888482,0.016781743015695
"ST2_Between",-0.0500825401838379,0.0183490057156076
"ST3_FullService",0.0222164588302078,0.0160527675843447
"QuarterOff2005Q3",0.0281988463288484,0.0170382388415691
"QuarterOff2005Q4",0.0475055089881152,0.0165097445736553
"QuarterOff2006Q1",0.0575716124402635,0.0172563981496407
"QuarterOff2006Q2",0.0784496494673148,0.0159730253073417
"QuarterOff2006Q3",0.0956065107225357,0.0155890654017474
"QuarterOff2006Q4",0.121768935927514,0.0168129567741814
"QuarterOff2007Q1",0.153618732604551,0.0161834611613556
"QuarterOff2007Q2",0.154458000417594,0.0182330827671487
"QuarterOff2007Q3",0.180678000868136,0.0186709366204574
"QuarterOff2007Q4",0.170593242786034,0.0191892302655257
"QuarterOff2008Q1",0.186043318365887,0.0182303499080746
"QuarterOff2008Q2",0.17712911953915,0.0179936148988505
"QuarterOff2008Q3",0.196134831697621,0.0179663240863871
"QuarterOff2008Q4",0.173955950783845,0.01784894127009
"QuarterOff2009Q1",0.147021861845877,0.0176095853833737
"QuarterOff2009Q2",0.132962128965058,0.0181757109709084
"QuarterOff2009Q3",0.109314747048763,0.016057507245296
"QuarterOff2009Q4",0.124314242705136,0.0172857802564594
"QuarterOff2010Q1",0.0603533674506916,0.0161225847223982
"QuarterOff2010Q2",0.0887028090730778,0.0163745283909445
"QuarterOff2010Q3",0.0826142066905735,0.0155665656469565
"QuarterOff2010Q4",0.0713616701275682,0.0168324620157855
"QuarterOff2011Q1",0.0604557451339102,0.0163749643432818
"QuarterOff2011Q2",0.0560668029875675,0.0160928077510736
"QuarterOff2011Q3",0.0491192181886018,0.0162411774969639
"QuarterOff2011Q4",0.000109317089474522,0.016541104622741
"Lambda",0.631630487498877,0.0158759911505434
