"value","s.e."
"(Intercept)",3.07729033873189,0.0918042901443176
"Quarters",-0.000115381543006836,0.00233717354674259
"ListAge",-0.00209639048948872,0.000281599377343958
"Floor",-0.0594835019424601,0.0190609710816221
"BldgClass2_ClassB",-0.127949959700109,0.0337389831517401
"BldgClass3_ClassC",-0.219992678587205,0.0353124751214537
"ST1_Net",-0.110863934601314,0.0378708897848113
"ST2_Between",-0.30348770869374,0.0452162220029234
"ST3_FullService",-0.142538292612734,0.0394518758216279
"QuarterOff2005Q3",0.0660913624475286,0.0997460028945928
"QuarterOff2005Q4",0.131803425709842,0.090563898143733
"QuarterOff2006Q1",0.0803386435857293,0.0955148811678505
"QuarterOff2006Q2",0.187929418258145,0.0900454870839288
"QuarterOff2006Q3",0.190326175477219,0.089339338290286
"QuarterOff2006Q4",0.145697892192613,0.0949476785830982
"QuarterOff2007Q1",0.141807237407297,0.082687672934646
"QuarterOff2007Q2",0.205278701262463,0.0819074800057362
"QuarterOff2007Q3",0.18612737442176,0.0802968602825252
"QuarterOff2007Q4",0.151513195540844,0.0835205299123613
"QuarterOff2008Q1",0.133239110845034,0.085743051611048
"QuarterOff2008Q2",0.191107382274844,0.0832928244173549
"QuarterOff2008Q3",0.188889091495101,0.0854286533690379
"QuarterOff2008Q4",0.235839446112899,0.0841198299307636
"QuarterOff2009Q1",0.161964501787439,0.0837067610860455
"QuarterOff2009Q2",0.215322688167958,0.0824427981824528
"QuarterOff2009Q3",0.128250969535648,0.0825095455145218
"QuarterOff2009Q4",0.199760972746538,0.0825125965453286
"QuarterOff2010Q1",0.129554605319167,0.0829653290232669
"QuarterOff2010Q2",0.0537248903469335,0.0821797631704637
"QuarterOff2010Q3",0.0565988264509267,0.0808145920704168
"QuarterOff2010Q4",0.0507249024724186,0.0805666932885378
"QuarterOff2011Q1",0.123240254962737,0.081244403680856
"QuarterOff2011Q2",0.0819679661429538,0.0799763399862834
"QuarterOff2011Q3",0.0638845507546581,0.0795118558592031
"QuarterOff2011Q4",0.0497972604576548,0.0804865803548979
"Lambda",0.439110656525891,0.0206455760410079
