"value","s.e."
"(Intercept)",2.44110013878348,0.136462620461299
"BldgClass2_ClassB",-0.0874804673796571,0.0324599407408974
"BldgClass3_ClassC",-0.189579937926671,0.0336533457094636
"SubmarketNameCaldwell",0.143760185117006,0.132802997944074
"SubmarketNameCentral Boise",0.277118035482925,0.0996726819574398
"SubmarketNameDowntown Boise",0.465428235156297,0.104563462035049
"SubmarketNameEagle",0.484163690153122,0.112041647804877
"SubmarketNameGem County",-0.0800402187865023,0.214692011832733
"SubmarketNameMeridian",0.361691512832254,0.106776891593321
"SubmarketNameMiddleton",0.0469723169233973,0.192337201930915
"SubmarketNameNampa",0.264377283023797,0.111875012500237
"SubmarketNameNorth Ada County",0.509901034677535,0.165424164803931
"SubmarketNameNorth Boise",0.384324816653643,0.1058008071369
"SubmarketNameNorthwest Boise",0.278870021189752,0.240270600142623
"SubmarketNameSouth Ada County",0.390081442480335,0.237986692600507
"SubmarketNameSouth Meridian",0.526702411808069,0.112225867796044
"SubmarketNameSoutheast Boise",0.473698585701353,0.110354647545309
"SubmarketNameSouthwest Boise",0.486650966232113,0.111123833556323
"SubmarketNameWest Boise",0.289522709830925,0.102743252558068
"QuarterOff2006Q3",-0.040232231110582,0.160851217569847
"QuarterOff2006Q4",-0.00123109975876073,0.158619457795604
"QuarterOff2007Q1",-0.0324132628847094,0.0991728699362475
"QuarterOff2007Q2",-0.00325867577689377,0.095215164079757
"QuarterOff2007Q3",0.028136509114828,0.0941350632496264
"QuarterOff2007Q4",-0.0169441226764673,0.0929115010355572
"QuarterOff2008Q1",-0.00277462857525927,0.0908553331830563
"QuarterOff2008Q2",-0.0294877690345808,0.0927029667907918
"QuarterOff2008Q3",0.0292786661078745,0.0914524838923514
"QuarterOff2008Q4",-0.0397620964273371,0.092883916368888
"QuarterOff2009Q1",0.0155104379726402,0.0918281806964567
"QuarterOff2009Q2",-0.0405159331156007,0.0910425093353638
"QuarterOff2009Q3",-0.0915651688709997,0.0912330177724896
"QuarterOff2009Q4",-0.0851818012445606,0.0917323421839804
"QuarterOff2010Q1",-0.120473216058911,0.0924439638748218
"QuarterOff2010Q2",-0.164634971010465,0.0914012847089574
"QuarterOff2010Q3",-0.137481825239674,0.0930917553501293
"QuarterOff2010Q4",-0.121154501945296,0.0924105005093218
"QuarterOff2011Q1",-0.163281684758673,0.0918098868425744
"QuarterOff2011Q2",-0.141531700323449,0.091579165738296
"QuarterOff2011Q3",-0.212558901568701,0.0922564039965033
"QuarterOff2011Q4",-0.186971425182643,0.0917388949527565
"Lambda",0.595330397460948,0.0647265481003862
