"value","s.e."
"(Intercept)",3.11233032738458,0.0299245614861582
"BldgClass2_ClassB",-0.229824661348634,0.00461275853050074
"BldgClass3_ClassC",-0.37830050195183,0.00617920233228388
"SubmarketNameAlliance",-0.194843755343807,0.0536184028721359
"SubmarketNameArlington/Mansfield",-0.189212382296366,0.0347645639937058
"SubmarketNameCentral East Dallas Ind",-0.307944563732276,0.109806728829536
"SubmarketNameCentral Expressway",-0.140469939637028,0.0327349405592232
"SubmarketNameDallas CBD",-0.268665144207525,0.0348683718970029
"SubmarketNameDenton",-0.166661259849142,0.0450073882063405
"SubmarketNameDFW Freeport/Coppell",-0.19201431166228,0.042929238081016
"SubmarketNameEast LBJ Freeway",-0.186900133900888,0.0314386659270422
"SubmarketNameEast Northeast Ft Worth",-0.226274064176202,0.0440079736868022
"SubmarketNameEllis County",-0.14686343384908,0.0664262037083754
"SubmarketNameFrisco/The Colony",-0.00532684428372428,0.0419328531678119
"SubmarketNameFt Worth CBD",-0.109449994955027,0.042930479726524
"SubmarketNameGarland",-0.199174399118503,0.0377291624286195
"SubmarketNameGrand Prairie",-0.268513905053699,0.0426368907628417
"SubmarketNameHEB/Midcities",-0.274010418008676,0.0386354430399971
"SubmarketNameHunt County",-0.319770830341305,0.0967576106222692
"SubmarketNameJohnson County",-0.196892345500509,0.0828796190646205
"SubmarketNameLewisville",-0.119257739495852,0.0368391191806862
"SubmarketNameMesquite/Forney/Terrell",-0.380535915242261,0.0500510263406435
"SubmarketNameN Central Dallas Out Ret",0.0384691089201936,0.0677718940768475
"SubmarketNameNorthwest Ft Worth",0.0141794659463353,0.0528913713551134
"SubmarketNameOffice Ctr/West LBJ Ext",-0.174835174666207,0.0382157639808196
"SubmarketNameOutlying Collin County",0.0339662765808562,0.12249291976696
"SubmarketNameOutlying Denton County",-0.216645374067888,0.170851384437635
"SubmarketNameOutlying Kaufman County",-0.714463077808763,0.186014523079317
"SubmarketNameParker County",-0.382075559601397,0.0669122904766972
"SubmarketNamePlano",-0.189599360541617,0.0357387812721847
"SubmarketNamePreston Center",-0.00644847727507693,0.0362882182916198
"SubmarketNameQuorum/Bent Tree",-0.215581929849491,0.031205091756839
"SubmarketNameRichardson",-0.200941545747469,0.0345016653587134
"SubmarketNameRockwall",-0.141649133503041,0.0687421138994027
"SubmarketNameSouth Irving",-0.310673399615022,0.0464592548568341
"SubmarketNameSoutheast Dallas",-0.149903205589393,0.0432663919683351
"SubmarketNameSoutheast Ft Worth",-0.205133826238964,0.0561366813417932
"SubmarketNameSouthwest Dallas",-0.297248197867937,0.0394010639996322
"SubmarketNameStemmons Freeway",-0.37025737589463,0.0369280570434867
"SubmarketNameUpper Tollway/West Plano",-0.0365755022969717,0.0355526080804288
"SubmarketNameUptown/Turtle Creek",0.0488393004883334,0.0338787448493796
"SubmarketNameUrban Center/Wingren",-0.181752139018336,0.0414240933761886
"SubmarketNameWest Hines North Ind",-0.364599953788045,0.169712334417917
"SubmarketNameWest LBJ Freeway",-0.265894538537576,0.0348811271690841
"SubmarketNameWest Southwest Ft Worth",-0.112193199770389,0.0350812484808046
"SubmarketNameWestlake/Grapevine",-0.076047299200606,0.0371076645822288
"SubmarketNameWhite Rock",-0.236696779884743,0.0351188378554196
"SubmarketNameWise County",-0.338670846366765,0.422015144190384
"QuarterOff2005Q3",0.00214723795774385,0.0123035767546044
"QuarterOff2005Q4",0.0104868341497577,0.012489197426787
"QuarterOff2006Q1",0.00503722440096458,0.0123268111707595
"QuarterOff2006Q2",-0.00279514627665567,0.0122580268726194
"QuarterOff2006Q3",0.0274367259550064,0.011795256956116
"QuarterOff2006Q4",0.0455623205891051,0.0126180201562235
"QuarterOff2007Q1",0.0462449641966935,0.012159026709878
"QuarterOff2007Q2",0.0510501508335555,0.0122794256047008
"QuarterOff2007Q3",0.0460517123707231,0.0123701488271328
"QuarterOff2007Q4",0.0646974713768359,0.0123227238249553
"QuarterOff2008Q1",0.0727430763923361,0.0119976551409826
"QuarterOff2008Q2",0.07261674781983,0.0124721857958884
"QuarterOff2008Q3",0.0871886191626595,0.0121673955209699
"QuarterOff2008Q4",0.0733602220121069,0.012178643418118
"QuarterOff2009Q1",0.0638403864269649,0.0121315107568989
"QuarterOff2009Q2",0.0435787893172558,0.0121726976044193
"QuarterOff2009Q3",0.0443472544853096,0.0121113657293554
"QuarterOff2009Q4",0.0320666300965182,0.011947107325699
"QuarterOff2010Q1",0.0291819891095431,0.0119231322675385
"QuarterOff2010Q2",0.00566900074006982,0.0122332468958994
"QuarterOff2010Q3",0.0234177538678272,0.0117781867735693
"QuarterOff2010Q4",0.0276763845459835,0.0117333837857092
"QuarterOff2011Q1",0.021635495356915,0.0117738493107252
"QuarterOff2011Q2",0.0109274409925547,0.0120618632220702
"QuarterOff2011Q3",0.0253468208704444,0.0119179367947785
"QuarterOff2011Q4",0.0259271757164188,0.0120366725042501
"Lambda",0.69151942982521,0.0143344592366686
