"value","s.e."
"(Intercept)",1.70175084053231,0.0702440738127815
"Quarters",-0.0113677370087979,0.00158250378347123
"ListAge",-0.00503256971567439,0.000451131072270074
"Floor",0.251310950259737,0.0398692814457602
"BldgClass2_ClassB",0.086112077361946,0.0361608457722337
"BldgClass3_ClassC",0.144971899396259,0.0367704266382192
"ST1_Net",-0.208266043190042,0.0353415985304905
"ST2_Between",0.0991465647647343,0.046355494301878
"ST3_FullService",0.0478189439474297,0.0358429338061087
"QuarterOff2005Q3",-0.065548927784077,0.0357483006326272
"QuarterOff2005Q4",-0.0214529435438142,0.0349925399576077
"QuarterOff2006Q1",-0.0152015415223599,0.0321420505177894
"QuarterOff2006Q2",-0.00221306053331185,0.0327701051313126
"QuarterOff2006Q3",0.0277776298535926,0.033242476577181
"QuarterOff2006Q4",0.0234904744448965,0.0343544304308707
"QuarterOff2007Q1",0.0234610406272135,0.0315908876058535
"QuarterOff2007Q2",0.0468146370665969,0.0337363937731832
"QuarterOff2007Q3",0.0692130463350491,0.0342974725006328
"QuarterOff2007Q4",0.0520010247628774,0.0324567338293416
"QuarterOff2008Q1",0.0792981325914337,0.0326814869798734
"QuarterOff2008Q2",0.15744132121099,0.0348317777863083
"QuarterOff2008Q3",0.0731329185823367,0.0339965129288788
"QuarterOff2008Q4",0.0342384388209702,0.033481057390839
"QuarterOff2009Q1",0.100730124656405,0.035036951611848
"QuarterOff2009Q2",0.0939550659345157,0.0359454202041182
"QuarterOff2009Q3",0.0674142737682657,0.0328753803605393
"QuarterOff2009Q4",0.0671829317561746,0.0321557846754105
"QuarterOff2010Q1",-0.00154589804837743,0.0317262457344634
"QuarterOff2010Q2",0.0775926465836691,0.032841463502928
"QuarterOff2010Q3",0.0331925025499373,0.0320124900106459
"QuarterOff2010Q4",0.0281763567536152,0.0318746152476252
"QuarterOff2011Q1",0.0561590136420029,0.0325582788782591
"QuarterOff2011Q2",0.0134986939502626,0.0313473680763037
"QuarterOff2011Q3",0.0367676861283902,0.0345186283104949
"QuarterOff2011Q4",0.0259714191044059,0.0335724718901257
"Lambda",0.698537829536601,0.0230457420114518
