"value","s.e."
"(Intercept)",2.08220623265679,0.102347170280202
"Quarters",0.00606358845641386,0.00327694555936885
"ListAge",-0.00769698591880992,0.00110871944119543
"Floor",0.0594257013077747,0.0413108881018092
"BldgClass2_ClassB",0.00845766082828739,0.0373007753378366
"BldgClass3_ClassC",0.0290290725933774,0.0396870953845701
"ST1_Net",-0.122962436814996,0.0776790829493781
"ST2_Between",0.277313586907752,0.110203919055458
"ST3_FullService",0.0579493760336337,0.0794080680048427
"QuarterOff2005Q4",-0.0410520292880532,0.0519222210449575
"QuarterOff2006Q1",0.0974545595243292,0.0521972439249802
"QuarterOff2006Q2",0.0137900021999471,0.0553210509933926
"QuarterOff2006Q3",0.123113230344725,0.0640336396327084
"QuarterOff2006Q4",0.108247308967595,0.0660482595166551
"QuarterOff2007Q1",0.192592219192078,0.0549368915194142
"QuarterOff2007Q2",0.206556112231916,0.0498931830395786
"QuarterOff2007Q3",0.181610064514846,0.053198142590075
"QuarterOff2007Q4",0.23031768462465,0.0597835210961076
"QuarterOff2008Q1",0.227776332076654,0.0577295152752117
"QuarterOff2008Q2",0.118739508786288,0.0532758212104765
"QuarterOff2008Q3",0.244526000583172,0.0519129242237767
"QuarterOff2008Q4",0.164897447401424,0.0497969420649617
"QuarterOff2009Q1",0.089408245587706,0.050803829487139
"QuarterOff2009Q2",0.0791883017820977,0.052361024682993
"QuarterOff2009Q3",-0.112786124990302,0.0516308905116091
"QuarterOff2009Q4",-0.144797352687918,0.0508905471877123
"QuarterOff2010Q1",-0.222988194055353,0.0479219863809857
"QuarterOff2010Q2",-0.256790578927834,0.0523112320235808
"QuarterOff2010Q3",-0.224622564047127,0.0495906906671052
"QuarterOff2010Q4",-0.223749895882385,0.0524182913323051
"QuarterOff2011Q1",-0.349603324059824,0.0498241775475652
"QuarterOff2011Q2",-0.271942764838949,0.0483920899940616
"QuarterOff2011Q3",-0.264674650324674,0.0515471425588783
"QuarterOff2011Q4",-0.216333175585695,0.0479669086321636
"Lambda",0.666713009452163,0.0332687412998387
