"value","s.e."
"(Intercept)",1.85985711877914,0.0729709924402662
"Quarters",-0.00634306116917731,0.0027668587511926
"ListAge",-0.00698382734555253,0.00074213740264444
"Floor",0.0239287549928331,0.0235505105884046
"BldgClass2_ClassB",0.118515612896077,0.0500732542212736
"BldgClass3_ClassC",0.113278798564749,0.0513956036571937
"ST1_Net",-0.140091318685159,0.0376535300707426
"ST2_Between",0.119422006437839,0.0488436332652331
"ST3_FullService",0.0384415040874885,0.0375404649961573
"QuarterOff2005Q3",0.0018649019668793,0.0540992978773445
"QuarterOff2005Q4",-0.0451608869054787,0.0551105101956273
"QuarterOff2006Q1",0.0465145730992526,0.0564790646529817
"QuarterOff2006Q2",0.10004227323418,0.0489257570110789
"QuarterOff2006Q3",0.0835673130210314,0.0485793069732332
"QuarterOff2006Q4",0.182288845810334,0.0552048764419375
"QuarterOff2007Q1",0.120064614821738,0.0531202148176187
"QuarterOff2007Q2",0.132446335750071,0.0535954322489585
"QuarterOff2007Q3",0.254826677507667,0.0588820603499615
"QuarterOff2007Q4",0.178316545532982,0.0524887803064143
"QuarterOff2008Q1",0.213176356675081,0.0499496144447974
"QuarterOff2008Q2",0.215196996171093,0.058155254911558
"QuarterOff2008Q3",0.244984370078629,0.0541170520181926
"QuarterOff2008Q4",0.177163457729046,0.0607445279745783
"QuarterOff2009Q1",0.158806114817128,0.0551040275756302
"QuarterOff2009Q2",0.163003171357565,0.0488969886078016
"QuarterOff2009Q3",0.173126884629336,0.0521924578772815
"QuarterOff2009Q4",0.0990336643411182,0.0483237192836272
"QuarterOff2010Q1",0.0474841923452548,0.0443701422200776
"QuarterOff2010Q2",0.0767726728814785,0.0430181103649511
"QuarterOff2010Q3",-0.0622918819648243,0.0446161062178432
"QuarterOff2010Q4",0.00279410176669178,0.0450576639661102
"QuarterOff2011Q1",0.0495793219925905,0.0474530638089961
"QuarterOff2011Q2",-0.082383125674541,0.0445261296733276
"QuarterOff2011Q3",-0.152620383213279,0.0460042201976864
"QuarterOff2011Q4",-0.0938585153296547,0.0485109418782139
"Lambda",0.436613628619137,0.0390749060549595
