"value","s.e."
"(Intercept)",1.9800951366155,0.150154955290234
"Quarters",-0.0126261869855627,0.00318630755238163
"ListAge",-0.00598246717734399,0.000752006445432928
"Floor",0.073456698355339,0.0558854210536794
"BldgClass2_ClassB",0.338063276371775,0.0858499078062564
"BldgClass3_ClassC",0.325207175343162,0.086781755447125
"ST1_Net",-0.211398340996708,0.100603839451849
"ST2_Between",-0.161816401649687,0.119130428291873
"ST3_FullService",-0.00950111327553886,0.100054617388316
"QuarterOff2005Q3",0.0898439946689486,0.0499068029931978
"QuarterOff2005Q4",0.0644337869533406,0.0500675405758432
"QuarterOff2006Q1",0.137779735058028,0.0505370326228209
"QuarterOff2006Q2",0.14395897853234,0.0509405503496795
"QuarterOff2006Q3",0.155338452591439,0.0536699988432304
"QuarterOff2006Q4",0.112127742724845,0.0553260971488919
"QuarterOff2007Q1",0.0913535764888695,0.057118169578246
"QuarterOff2007Q2",0.194717540664518,0.0573340840244696
"QuarterOff2007Q3",0.271014035087891,0.0552064803362638
"QuarterOff2007Q4",0.318626968687457,0.057815176925751
"QuarterOff2008Q1",0.270812014426356,0.0600942131720212
"QuarterOff2008Q2",0.326965094494564,0.0551228078935459
"QuarterOff2008Q3",0.27321483827973,0.0548289107311247
"QuarterOff2008Q4",0.250252826020784,0.0536201937289062
"QuarterOff2009Q1",0.180700699744899,0.0567606690014777
"QuarterOff2009Q2",0.222057715518893,0.0496105227562552
"QuarterOff2009Q3",0.20515136882029,0.0493013480019642
"QuarterOff2009Q4",0.133774163033543,0.048305426396435
"QuarterOff2010Q1",0.176912079834009,0.047174893153326
"QuarterOff2010Q2",0.160424513878379,0.0475252342661196
"QuarterOff2010Q3",0.0957773535253725,0.0489230131572419
"QuarterOff2010Q4",0.130341664856137,0.0486863687991717
"QuarterOff2011Q1",0.134033767104236,0.0482991731530951
"QuarterOff2011Q2",0.122088285880036,0.0511158647953574
"QuarterOff2011Q3",0.183485134298138,0.0489609140895732
"QuarterOff2011Q4",0.127333905560285,0.0501906413610403
"Lambda",0.693542205966265,0.0288018885223651
