"value","s.e."
"(Intercept)",1.72866310974148,0.0759507806135553
"Quarters",-0.00415155457732857,0.0020630171480036
"ListAge",-0.0024661227398375,0.000482894729136888
"Floor",0.158709055903743,0.0271901833850099
"BldgClass2_ClassB",0.0863586113189417,0.0472100267103733
"BldgClass3_ClassC",0.150189586631006,0.0479511811449696
"ST1_Net",-0.0940793408440374,0.0415593439655851
"ST2_Between",0.0949630793620253,0.0619939820897559
"ST3_FullService",0.119165240373558,0.0441561114265755
"QuarterOff2005Q3",0.0530823086599468,0.042304232217517
"QuarterOff2005Q4",0.011196896060382,0.0415967928656528
"QuarterOff2006Q1",0.0862500110585458,0.041431470161131
"QuarterOff2006Q2",0.0704706134745228,0.0386006581696364
"QuarterOff2006Q3",0.101519246680112,0.0375730106058316
"QuarterOff2006Q4",0.0987635723814278,0.0414358904491951
"QuarterOff2007Q1",0.168056605281991,0.0382033324809993
"QuarterOff2007Q2",0.0929700267872284,0.0395721396563017
"QuarterOff2007Q3",0.185535144543776,0.0386643958323262
"QuarterOff2007Q4",0.147817287858919,0.0430244052781648
"QuarterOff2008Q1",0.200326341331948,0.0429634609374955
"QuarterOff2008Q2",0.244549235006016,0.0395891351312917
"QuarterOff2008Q3",0.238598966679547,0.0419033623546902
"QuarterOff2008Q4",0.225978291165853,0.0437146761813172
"QuarterOff2009Q1",0.204721284658255,0.0429816935731597
"QuarterOff2009Q2",0.258517860467722,0.0406712096063475
"QuarterOff2009Q3",0.186717835688288,0.0390792115183329
"QuarterOff2009Q4",0.187331366202366,0.03806736050592
"QuarterOff2010Q1",0.174331776077005,0.0387070973752076
"QuarterOff2010Q2",0.118313431636587,0.0381692643847159
"QuarterOff2010Q3",0.131726301744505,0.0379724866582943
"QuarterOff2010Q4",0.0886718006785177,0.0400896441928961
"QuarterOff2011Q1",0.0875134611641186,0.0385962336636984
"QuarterOff2011Q2",0.0932021709513503,0.0388629637004349
"QuarterOff2011Q3",0.125946140167421,0.0421979027026738
"QuarterOff2011Q4",0.076455960113457,0.0386955947916006
"Lambda",0.645238037842982,0.0201921330468624
