"value","s.e."
"(Intercept)",2.84452530347839,0.100826047806665
"Quarters",0.00474901051955666,0.00224295852899423
"ListAge",-0.00263723580066258,0.000486690988849815
"Floor",0.0443763559149894,0.00738318564794809
"BldgClass2_ClassB",-0.227533214424823,0.0519168487482042
"BldgClass3_ClassC",-0.33395664081048,0.0550831195296615
"ST1_Net",0.0161873391880644,0.0604845137461247
"ST2_Between",0.0904537085459527,0.0612122588343386
"ST3_FullService",0.110008920971171,0.0590353935072559
"QuarterOff2006Q3",0.0193057501924886,0.151509954924655
"QuarterOff2006Q4",-0.0189339556595124,0.153921534057198
"QuarterOff2007Q1",-0.0272193834749226,0.0995613964336349
"QuarterOff2007Q2",0.0230485448558187,0.09820318813144
"QuarterOff2007Q3",0.0398079118833773,0.098236318500191
"QuarterOff2007Q4",0.0420652571997497,0.0944356447501227
"QuarterOff2008Q1",-0.0393626828711699,0.0937464947571565
"QuarterOff2008Q2",0.00185864331051258,0.0956665586082271
"QuarterOff2008Q3",-0.000532937685037359,0.095173065974305
"QuarterOff2008Q4",-0.0959799444372784,0.0965173477664093
"QuarterOff2009Q1",-0.038411842839833,0.0956280850962486
"QuarterOff2009Q2",-0.0687601575107452,0.0951405263867712
"QuarterOff2009Q3",-0.117791652413098,0.0956799121090086
"QuarterOff2009Q4",-0.0911481413275661,0.0959264580365304
"QuarterOff2010Q1",-0.194927403501179,0.0966497464670228
"QuarterOff2010Q2",-0.196216773661169,0.0959660326421736
"QuarterOff2010Q3",-0.170941553498968,0.09693745402441
"QuarterOff2010Q4",-0.143295646294631,0.0965712692396486
"QuarterOff2011Q1",-0.204789277805586,0.0963451005596148
"QuarterOff2011Q2",-0.232676272834973,0.0960101336352826
"QuarterOff2011Q3",-0.197583222359139,0.096778414118243
"QuarterOff2011Q4",-0.266725086237384,0.0959837943095063
"Lambda",0.62243064487128,0.0336375345747952
