"value","s.e."
"(Intercept)",2.89383102862425,0.0141662731354594
"Quarters",-0.000131781053568446,0.000263569155049591
"ListAge",-0.00184347989735026,0.000120780601895939
"Floor",0.00281473193673773,0.000284243132133921
"BldgClass2_ClassB",-0.195528318010283,0.00342689815533378
"BldgClass3_ClassC",-0.308394094264092,0.00497746618876345
"ST1_Net",-0.0710595874030269,0.0125651612651685
"ST2_Between",0.0620311869559674,0.0119989154514284
"ST3_FullService",0.0370748875260921,0.0118996573406471
"QuarterOff2005Q3",-0.0170694897395418,0.00886306328489865
"QuarterOff2005Q4",-0.00141406336354773,0.0087545779809005
"QuarterOff2006Q1",-0.0153777127593241,0.00885210008047099
"QuarterOff2006Q2",-0.024735308979231,0.00876077560562862
"QuarterOff2006Q3",0.00262641177233343,0.00850657425573225
"QuarterOff2006Q4",0.0126994395807227,0.00929155502304107
"QuarterOff2007Q1",0.0132629233120261,0.00874323755101354
"QuarterOff2007Q2",0.0142191839454078,0.00869712450614584
"QuarterOff2007Q3",0.0262833536913969,0.00919479922154916
"QuarterOff2007Q4",0.030900361913011,0.00908248555625519
"QuarterOff2008Q1",0.0380007631637814,0.00900948936756244
"QuarterOff2008Q2",0.0465749445983299,0.00936818988144938
"QuarterOff2008Q3",0.0705869921516314,0.00898952615174143
"QuarterOff2008Q4",0.0488420954280491,0.0091660108119561
"QuarterOff2009Q1",0.0550219591244307,0.00921611362609149
"QuarterOff2009Q2",-0.00467214018153072,0.00900645941120592
"QuarterOff2009Q3",0.0245234235836645,0.00913493987948577
"QuarterOff2009Q4",-0.0264531677297629,0.00886989238315742
"QuarterOff2010Q1",-0.0126651570534902,0.0088489711102831
"QuarterOff2010Q2",-0.0288032740122979,0.00895294658125689
"QuarterOff2010Q3",-0.00713217401849032,0.00873302092875449
"QuarterOff2010Q4",-0.00150296009717717,0.00889971559057769
"QuarterOff2011Q1",-0.00179790035445549,0.00871221976875024
"QuarterOff2011Q2",-0.000441189717545855,0.00898203258877013
"QuarterOff2011Q3",0.0182816956118076,0.00872547141077717
"QuarterOff2011Q4",-0.00696940128679781,0.00917528441425074
"Lambda",0.746833436044515,0.00713506231425743
