"value","s.e."
"(Intercept)",2.88622422576336,0.019722890848362
"Quarters",-0.00183867273425813,0.000375670041765525
"ListAge",-0.00236148501916831,0.00015174688179747
"Floor",0.00516400041328581,0.000384659186524079
"BldgClass2_ClassB",-0.188950328200733,0.00412646659263696
"BldgClass3_ClassC",-0.347402529909369,0.00650887159073608
"ST1_Net",-0.219756907018121,0.0171322323985966
"ST2_Between",-0.208131516530776,0.0216685293722426
"ST3_FullService",0.0178602582274895,0.0164107462697798
"QuarterOff2005Q3",-0.00505327553275424,0.0107908800936737
"QuarterOff2005Q4",0.0157780248377826,0.0108194124589725
"QuarterOff2006Q1",0.0338764378841735,0.0105064362590547
"QuarterOff2006Q2",0.0541023159673331,0.0106065759495497
"QuarterOff2006Q3",0.0761079273320733,0.0107429277774766
"QuarterOff2006Q4",0.118747666913057,0.010859054208082
"QuarterOff2007Q1",0.0982776817440865,0.0106814804623796
"QuarterOff2007Q2",0.122201378764305,0.0112764766493756
"QuarterOff2007Q3",0.152140848602265,0.0110475390632974
"QuarterOff2007Q4",0.169084265015802,0.0112264915765223
"QuarterOff2008Q1",0.186497404111028,0.0106757491722877
"QuarterOff2008Q2",0.201199321652375,0.0107975314911628
"QuarterOff2008Q3",0.201245369979691,0.0109174003371348
"QuarterOff2008Q4",0.206493893572625,0.01097319705687
"QuarterOff2009Q1",0.173206963992923,0.011171636288817
"QuarterOff2009Q2",0.156267051975515,0.0117375811820825
"QuarterOff2009Q3",0.140827784863364,0.0115803953027094
"QuarterOff2009Q4",0.14435986968617,0.011144336858886
"QuarterOff2010Q1",0.131509358756372,0.0113442999753787
"QuarterOff2010Q2",0.116325780431874,0.0110592728355328
"QuarterOff2010Q3",0.118874648337465,0.0107938727036588
"QuarterOff2010Q4",0.107292213340235,0.0108826389193879
"QuarterOff2011Q1",0.117433947754457,0.0107943381043143
"QuarterOff2011Q2",0.121889910421152,0.010987406858128
"QuarterOff2011Q3",0.122367362764249,0.0108036491427077
"QuarterOff2011Q4",0.115499898053541,0.0107999014784312
"Lambda",0.815989566648102,0.00911437866367576
