"value","s.e."
"(Intercept)",2.67437715802969,0.203108776264579
"Quarters",-0.00125406989851608,0.00167477522392714
"ListAge",-0.00129459850784391,0.000234760437787533
"Floor",0.00452137909769838,0.00163516810031724
"BldgClass2_ClassB",-0.0652488761183225,0.0179450202428036
"BldgClass3_ClassC",-0.179410645914731,0.0227485231595508
"ST1_Net",-0.198790002313672,0.0534414775844689
"ST2_Between",-0.0913949595785217,0.0551325987405367
"ST3_FullService",0.00891319413108936,0.0528548326270572
"QuarterOff2005Q4",0.154994798597281,0.218530652002986
"QuarterOff2006Q1",0.0785100018224948,0.206891999845865
"QuarterOff2006Q2",0.155920830981562,0.196806382440105
"QuarterOff2006Q3",0.122063360602677,0.196732020905544
"QuarterOff2006Q4",0.0428858321984915,0.196510742113877
"QuarterOff2007Q1",0.124036832257594,0.196176469064867
"QuarterOff2007Q2",0.11713001122845,0.196784827483785
"QuarterOff2007Q3",0.117273416169516,0.196469177281891
"QuarterOff2007Q4",0.107367423343352,0.196319772392626
"QuarterOff2008Q1",0.11600542443865,0.196198593316939
"QuarterOff2008Q2",0.162082344939477,0.196898829994138
"QuarterOff2008Q3",0.157202949261205,0.196659363550303
"QuarterOff2008Q4",0.184801586956621,0.196386583913544
"QuarterOff2009Q1",0.140948612540662,0.196567873991205
"QuarterOff2009Q2",0.179937319675015,0.196525934780346
"QuarterOff2009Q3",0.14200448627725,0.196293354627611
"QuarterOff2009Q4",0.170920982827763,0.197346919427789
"QuarterOff2010Q1",0.154290098557918,0.196636492372905
"QuarterOff2010Q2",0.13231836388588,0.197116843403186
"QuarterOff2010Q3",0.123710848558216,0.197045924137188
"QuarterOff2010Q4",0.133861005019411,0.197423507798396
"QuarterOff2011Q1",0.0851593521526268,0.196687892610862
"QuarterOff2011Q2",0.159532272162348,0.197112879479686
"QuarterOff2011Q3",0.116264435855872,0.197248071311914
"QuarterOff2011Q4",0.181508696949048,0.19723145399473
"Lambda",0.415339177039697,0.038502994230698
