"value","s.e."
"(Intercept)",3.36775741866999,0.04898833774816
"Quarters",-0.00391085203466982,0.00155534123065738
"ListAge",-0.00559001371907462,0.000393922698191239
"Floor",0.00476386623361052,0.00270488683185674
"BldgClass2_ClassB",-0.128894930041934,0.0179088892271148
"BldgClass3_ClassC",-0.242486213677763,0.0204170421041515
"ST1_Net",-0.16998862039029,0.0398738414799966
"ST2_Between",-0.0818780741085839,0.0401786774800444
"ST3_FullService",-0.0389272732284633,0.0372220520514764
"QuarterOff2005Q3",0.0399095754999751,0.0292829910913865
"QuarterOff2005Q4",0.0225570466560448,0.0305312862496506
"QuarterOff2006Q1",0.00409549023713602,0.0304083337329604
"QuarterOff2006Q2",0.00702103139943497,0.0279720840801187
"QuarterOff2006Q3",0.0270423949281553,0.0304039865548437
"QuarterOff2006Q4",0.0569975592323336,0.0338149278181744
"QuarterOff2007Q1",0.0372238218466254,0.0320465413654357
"QuarterOff2007Q2",0.0720700086736282,0.0333631313450104
"QuarterOff2007Q3",0.0589422543684594,0.0311640627773915
"QuarterOff2007Q4",0.107594340609486,0.0317824095698731
"QuarterOff2008Q1",0.105481675592395,0.0294512149491423
"QuarterOff2008Q2",0.0873089470996157,0.0293571990392402
"QuarterOff2008Q3",0.12030943270872,0.0312756357410051
"QuarterOff2008Q4",0.0691077742883913,0.0307395308905749
"QuarterOff2009Q1",0.0384102390131641,0.0289768717476511
"QuarterOff2009Q2",0.0194933583452108,0.0303513317797783
"QuarterOff2009Q3",0.0433857955627945,0.0291650349822161
"QuarterOff2009Q4",0.00222442881133093,0.029088751826075
"QuarterOff2010Q1",0.0020417638347426,0.0287433739001238
"QuarterOff2010Q2",0.0192947642783206,0.0306791745932111
"QuarterOff2010Q3",-0.071539662152203,0.0299623150929331
"QuarterOff2010Q4",0.00283226550570611,0.0294378106476269
"QuarterOff2011Q1",-0.0357377660004608,0.0303071789769883
"QuarterOff2011Q2",0.00185645658244698,0.0292290484606547
"QuarterOff2011Q3",-0.03407084620096,0.0290507161651545
"QuarterOff2011Q4",0.025100553552484,0.0316620350556339
"Lambda",0.719354218172261,0.030508150167934
