"value","s.e."
"(Intercept)",3.04267296368527,0.021433719433231
"Quarters",-0.000542055290046762,0.000458514115727234
"ListAge",-0.00502164270260471,0.000204878045626064
"Floor",0.011921367812328,0.000774368087463545
"BldgClass2_ClassB",-0.146379473670364,0.00482192609319216
"BldgClass3_ClassC",-0.295487144127261,0.00661754632406833
"ST1_Net",-0.0890483998973132,0.0196266943592826
"ST2_Between",0.0196340663101691,0.0199831598583739
"ST3_FullService",0.0743882918163798,0.0192314001695851
"QuarterOff2005Q3",-0.00328069972183241,0.00967947391639692
"QuarterOff2005Q4",0.0146222965092115,0.0100727746274005
"QuarterOff2006Q1",0.0488044536986018,0.00921217190269684
"QuarterOff2006Q2",0.0719460188280393,0.00939946110755742
"QuarterOff2006Q3",0.103250637515164,0.00965341026768222
"QuarterOff2006Q4",0.12116116166776,0.0103616942258514
"QuarterOff2007Q1",0.135150247723867,0.0101657553915668
"QuarterOff2007Q2",0.119017987577902,0.0100580970596736
"QuarterOff2007Q3",0.14751760730305,0.0111038829828317
"QuarterOff2007Q4",0.142210482692266,0.0105018971913267
"QuarterOff2008Q1",0.149797276561139,0.0106901292611084
"QuarterOff2008Q2",0.154916394881701,0.0108486426307114
"QuarterOff2008Q3",0.139431960773291,0.0108151850668405
"QuarterOff2008Q4",0.107857457566142,0.0116643522433433
"QuarterOff2009Q1",0.0970770385298966,0.0108832030022535
"QuarterOff2009Q2",0.0653583516929401,0.0105760290329122
"QuarterOff2009Q3",0.0423586883616732,0.0101197524749932
"QuarterOff2009Q4",0.0230197953414199,0.0107201709457491
"QuarterOff2010Q1",-0.021421868879684,0.00994611215137834
"QuarterOff2010Q2",-0.0342427753766265,0.0104165802475212
"QuarterOff2010Q3",-0.0801566539756848,0.010354489448769
"QuarterOff2010Q4",-0.075069398606014,0.0105589035315536
"QuarterOff2011Q1",-0.0671530481688918,0.0101524283192936
"QuarterOff2011Q2",-0.0659661236459554,0.0100854718108911
"QuarterOff2011Q3",-0.0821771286352352,0.0104470974113962
"QuarterOff2011Q4",-0.086985721987085,0.0109952547165532
"Lambda",0.757991059712013,0.00885552450881499
