"value","s.e."
"(Intercept)",3.02045286149756,0.0238756516990765
"Quarters",-0.00237427847931452,0.000605655966006636
"ListAge",-0.00156663540706543,0.000123277008323774
"Floor",0.00283039635465467,0.000728466257510576
"BldgClass2_ClassB",-0.197529731980231,0.00618495446886365
"BldgClass3_ClassC",-0.308561127397235,0.00768496780218244
"ST1_Net",-0.0526054746512902,0.0200818037792875
"ST2_Between",-0.0778847053775042,0.0225336356849712
"ST3_FullService",0.0344436921317123,0.0192481009346035
"QuarterOff2005Q3",0.0236361712895699,0.0149075999757938
"QuarterOff2005Q4",-0.00444982979946576,0.0162130578011257
"QuarterOff2006Q1",0.00927091830162703,0.0156682312213687
"QuarterOff2006Q2",-0.00854299758584233,0.0151156479546252
"QuarterOff2006Q3",0.0227159128791191,0.0159854349703928
"QuarterOff2006Q4",0.0364231568538134,0.0167618665186153
"QuarterOff2007Q1",0.0525093760707385,0.0156810654163895
"QuarterOff2007Q2",0.071766585729975,0.0169300346432235
"QuarterOff2007Q3",0.0759824627558025,0.0158450397026607
"QuarterOff2007Q4",0.106374266912443,0.017038551965849
"QuarterOff2008Q1",0.115152684274536,0.0159614342097129
"QuarterOff2008Q2",0.111859864532477,0.0160778690507765
"QuarterOff2008Q3",0.111999511557206,0.0160161998624518
"QuarterOff2008Q4",0.123814981756577,0.0167936049272508
"QuarterOff2009Q1",0.12359085800729,0.0169390340050171
"QuarterOff2009Q2",0.0735960661132328,0.0173989995755361
"QuarterOff2009Q3",0.079709743408722,0.0170351635654939
"QuarterOff2009Q4",0.080787963981058,0.0166330072044146
"QuarterOff2010Q1",0.0386240103765645,0.0165380058078437
"QuarterOff2010Q2",0.086634258637738,0.0165251811395189
"QuarterOff2010Q3",0.0566557510966363,0.0176539268012022
"QuarterOff2010Q4",0.10873659226726,0.0160651385383976
"QuarterOff2011Q1",0.0570946571862091,0.017740656645132
"QuarterOff2011Q2",0.0699655253549841,0.0156633259967081
"QuarterOff2011Q3",0.0786699788868873,0.0155496998517495
"QuarterOff2011Q4",0.0544475327633552,0.0163548251937412
"Lambda",0.558796862009962,0.0207649581659251
