"value","s.e."
"(Intercept)",2.78813468148632,0.0241091329027577
"Quarters",-0.00162238608571952,0.00105459957741572
"ListAge",-0.00241224872767016,0.000227334314871482
"Floor",0.010673450627905,0.00148180539286758
"BldgClass2_ClassB",-0.14174486969449,0.00867858374322939
"BldgClass3_ClassC",-0.294029327438048,0.0104526026361356
"ST1_Net",-0.0917289268452329,0.0194117946117334
"ST2_Between",-0.0093921770744333,0.0224763650427219
"ST3_FullService",0.106764715789882,0.0173786240640402
"QuarterOff2005Q3",0.0245285035488859,0.0222538016924568
"QuarterOff2005Q4",0.00787904498768691,0.0218597355989788
"QuarterOff2006Q1",0.0179801141922522,0.021219093908122
"QuarterOff2006Q2",0.0161578755754319,0.0221948750715543
"QuarterOff2006Q3",0.025754569695869,0.022792880402609
"QuarterOff2006Q4",0.00334677271113555,0.0226931073922827
"QuarterOff2007Q1",0.0553249253588549,0.0228433060015634
"QuarterOff2007Q2",0.0329669845143029,0.0230534330350537
"QuarterOff2007Q3",0.03996725735429,0.0223525896750923
"QuarterOff2007Q4",0.0402994565063391,0.0215740252714338
"QuarterOff2008Q1",0.0202085236086607,0.0213963333509657
"QuarterOff2008Q2",0.0580616982673611,0.024155908491824
"QuarterOff2008Q3",0.0947127623095494,0.0242539888985187
"QuarterOff2008Q4",0.0794370289292421,0.0272922407486846
"QuarterOff2009Q1",0.0950190479391546,0.0257537587238892
"QuarterOff2009Q2",0.0701626030674246,0.0237331708891916
"QuarterOff2009Q3",0.054764269801242,0.0236953896410491
"QuarterOff2009Q4",0.0756318280432215,0.0245955409302442
"QuarterOff2010Q1",0.0597389877741024,0.0233060238541886
"QuarterOff2010Q2",0.0635963826838008,0.0218018088035
"QuarterOff2010Q3",0.0340013460302311,0.02387671799257
"QuarterOff2010Q4",0.0393766794846013,0.0207120130449275
"QuarterOff2011Q1",0.054641982162759,0.0242854752149638
"QuarterOff2011Q2",0.0619399553738637,0.022383757090081
"QuarterOff2011Q3",0.043822858898602,0.0236659031594234
"QuarterOff2011Q4",0.0425366404853978,0.0219688823830034
"Lambda",0.385924375892808,0.0313808880361652
