"value","s.e."
"(Intercept)",3.00274569319316,0.0253604394817177
"Quarters",-0.000821410232724977,0.000654429389198232
"ListAge",-0.00133814968638574,0.000247965972752969
"Floor",0.00188425282772038,0.00100597957962347
"BldgClass2_ClassB",-0.261349205690812,0.00808701182056284
"BldgClass3_ClassC",-0.394236902550281,0.0109454642011177
"ST1_Net",-0.0476325585000064,0.0198355086402879
"ST2_Between",-0.0780209382418405,0.0227067868590121
"ST3_FullService",0.0630595843426272,0.0180048900516208
"QuarterOff2005Q3",-0.00133689952170325,0.0212514192735541
"QuarterOff2005Q4",0.0224995095798189,0.0207848733996924
"QuarterOff2006Q1",0.0229016335056237,0.0210881765062873
"QuarterOff2006Q2",0.00933963926634184,0.0211024691752063
"QuarterOff2006Q3",-0.0201682002586477,0.0206926672053572
"QuarterOff2006Q4",0.0417443103208937,0.0246089227075139
"QuarterOff2007Q1",0.00597032551214321,0.0210454484487063
"QuarterOff2007Q2",-0.0155452235304023,0.0213150517639475
"QuarterOff2007Q3",0.00880260044254372,0.0213884351644995
"QuarterOff2007Q4",0.0394097576198843,0.020574584959723
"QuarterOff2008Q1",0.0399878561971459,0.0197714573095033
"QuarterOff2008Q2",0.0568964943432951,0.0217226451412634
"QuarterOff2008Q3",0.00961205827997091,0.0211178135750461
"QuarterOff2008Q4",0.0117495374020541,0.0217301092163362
"QuarterOff2009Q1",-0.00746395376685561,0.022645146629826
"QuarterOff2009Q2",-0.00965153913359792,0.0240930425946395
"QuarterOff2009Q3",-0.014054497158716,0.0221834579756506
"QuarterOff2009Q4",0.0137281562025375,0.0227633916449667
"QuarterOff2010Q1",0.00112245243067521,0.0215569364469944
"QuarterOff2010Q2",-0.0245620693779713,0.0232548801698126
"QuarterOff2010Q3",0.00719887451369226,0.0231520479009757
"QuarterOff2010Q4",0.0196801696740312,0.0255696653026471
"QuarterOff2011Q1",-0.035458682863183,0.0217510611127222
"QuarterOff2011Q2",-0.052652111063435,0.0199670648365873
"QuarterOff2011Q3",-0.0425230575574029,0.0216749828018885
"QuarterOff2011Q4",-0.025918608796189,0.021379405957516
"Lambda",0.633142973758506,0.0173658052376767
