"value","s.e."
"(Intercept)",3.27524806009153,0.0257957146584405
"Quarters",-0.00492469334652528,0.000837143558130196
"ListAge",-0.00167352848437553,0.000138803710535044
"Floor",0.0111077073377676,0.000842006199777809
"BldgClass2_ClassB",-0.143210830495201,0.00751129485102314
"BldgClass3_ClassC",-0.222836200724157,0.0101950658207839
"ST1_Net",-0.212695921051047,0.0179142778030475
"ST2_Between",-0.161553573628218,0.0216090469700795
"ST3_FullService",-0.0687428631187003,0.0151044873314605
"QuarterOff2005Q3",0.0190988712552175,0.019433093146667
"QuarterOff2005Q4",0.0505599253726213,0.0192555947693242
"QuarterOff2006Q1",0.10133476409371,0.0196584587073847
"QuarterOff2006Q2",0.138397165082571,0.0188329989673178
"QuarterOff2006Q3",0.138879200131333,0.0192783717398286
"QuarterOff2006Q4",0.174242206479718,0.0201196667643034
"QuarterOff2007Q1",0.205981051593385,0.0196094366985634
"QuarterOff2007Q2",0.261257477955251,0.0203712354136567
"QuarterOff2007Q3",0.290262211303202,0.021074684852798
"QuarterOff2007Q4",0.344144046789405,0.0213710977646662
"QuarterOff2008Q1",0.403341992958468,0.0209743484250629
"QuarterOff2008Q2",0.43288441748749,0.0206592184464678
"QuarterOff2008Q3",0.403124856187408,0.0215977522481974
"QuarterOff2008Q4",0.398353705837421,0.0217863886186767
"QuarterOff2009Q1",0.316122851815237,0.0223765675132356
"QuarterOff2009Q2",0.256933294174899,0.0212061815903347
"QuarterOff2009Q3",0.223185524190782,0.0197506725719109
"QuarterOff2009Q4",0.224374842793388,0.0206795702523737
"QuarterOff2010Q1",0.168526681603224,0.0197337219910812
"QuarterOff2010Q2",0.174498992630222,0.019155049506777
"QuarterOff2010Q3",0.162739843635124,0.0188594302604863
"QuarterOff2010Q4",0.160078069149956,0.0194444359283313
"QuarterOff2011Q1",0.177517375894028,0.0187739306279972
"QuarterOff2011Q2",0.248261381495693,0.0191553762086773
"QuarterOff2011Q3",0.252521780109021,0.019043814827359
"QuarterOff2011Q4",0.299692704280319,0.0208336072814217
"Lambda",0.80042654683803,0.0142874720181908
