"value","s.e."
"(Intercept)",2.91735329752322,0.0902643666276357
"Quarters",-0.00360848174454852,0.00306839432780345
"ListAge",-0.00385059700591816,0.000433249152462521
"Floor",0.0490556512192475,0.0221359279715449
"BldgClass2_ClassB",-0.166653495468429,0.0468728699472711
"BldgClass3_ClassC",-0.205197982572649,0.0485463216342416
"ST1_Net",-0.0886831138906716,0.0486047858875597
"ST2_Between",-0.236042749935784,0.0566970561264453
"ST3_FullService",-0.0485322396573604,0.0526191895090684
"QuarterOff2006Q1",0.0444488723884004,0.0834249751290976
"QuarterOff2006Q2",0.0829035423248345,0.071148877462186
"QuarterOff2006Q3",0.138252583091914,0.0751264034272714
"QuarterOff2006Q4",0.139135261135129,0.0881458767516041
"QuarterOff2007Q1",0.0163455540597086,0.0731539854958839
"QuarterOff2007Q2",0.130166848491864,0.0677200685387356
"QuarterOff2007Q3",0.0678375574995338,0.0707376777181708
"QuarterOff2007Q4",0.0680815089281015,0.0761960428164273
"QuarterOff2008Q1",0.0356760076244273,0.0699342330024648
"QuarterOff2008Q2",0.109669082581873,0.0689369623780487
"QuarterOff2008Q3",0.0616749981811155,0.0723917811892943
"QuarterOff2008Q4",0.12322567705982,0.0764783662111432
"QuarterOff2009Q1",0.0345519627715547,0.0747488241613914
"QuarterOff2009Q2",0.079803458023766,0.0723399410205692
"QuarterOff2009Q3",0.0275490837924416,0.0713345188726354
"QuarterOff2009Q4",-0.0531837415082939,0.0692912490365751
"QuarterOff2010Q1",-0.0242427007294314,0.073616293147124
"QuarterOff2010Q2",0.064572712908728,0.0691289654688026
"QuarterOff2010Q3",-0.014877009083692,0.0724530293347594
"QuarterOff2010Q4",0.0555211221451644,0.0776823112235626
"QuarterOff2011Q1",0.117606433300724,0.0714590287265233
"QuarterOff2011Q2",0.0532102557564985,0.074912414758516
"QuarterOff2011Q3",0.124484095811235,0.0677538525260104
"QuarterOff2011Q4",0.0196887276304082,0.0693608319678132
"Lambda",0.350737192869731,0.0300012303083581
