"value","s.e."
"(Intercept)",3.22570009572122,0.157809523909176
"Quarters",-0.00803579849636573,0.00293607660262664
"ListAge",-0.00637713262518749,0.000750227104669847
"Floor",0.0533051199727132,0.0606960940033113
"BldgClass2_ClassB",-0.141035208503481,0.0403693577733929
"BldgClass3_ClassC",-0.275632365279859,0.0444228645600274
"ST1_Net",-0.132059792147056,0.117298174980602
"ST2_Between",-0.49020303044225,0.170486051887467
"ST3_FullService",-0.25026521883815,0.119132816721218
"QuarterOff2005Q3",0.195381654015938,0.0907277769916816
"QuarterOff2005Q4",0.104595605147676,0.093975585627272
"QuarterOff2006Q1",0.204361183869263,0.091694903233385
"QuarterOff2006Q2",0.288310526106093,0.0937483975993541
"QuarterOff2006Q3",0.209716451865022,0.0934666388450397
"QuarterOff2006Q4",0.271016557747208,0.0935804391599364
"QuarterOff2007Q1",0.265191240785291,0.08740377204043
"QuarterOff2007Q2",0.19055540180997,0.091476143651924
"QuarterOff2007Q3",0.234852761158256,0.0864281790841378
"QuarterOff2007Q4",0.332980644288599,0.0870738050656538
"QuarterOff2008Q1",0.282390367030164,0.0881493299852644
"QuarterOff2008Q2",0.156835234036033,0.0881223397353686
"QuarterOff2008Q3",0.269029356046081,0.0855714668952806
"QuarterOff2008Q4",0.118689249858539,0.0901213457440632
"QuarterOff2009Q1",0.146091756886271,0.0856456432072703
"QuarterOff2009Q2",0.00743819083795686,0.0839961655387412
"QuarterOff2009Q3",0.115568752615914,0.0831369689979017
"QuarterOff2009Q4",0.104507056687988,0.0832106597432959
"QuarterOff2010Q1",0.165486432210445,0.0851104514875868
"QuarterOff2010Q2",0.0455465443027686,0.0818328822745215
"QuarterOff2010Q3",0.0813343010716091,0.0817409050019098
"QuarterOff2010Q4",0.137441669605732,0.0856169773363046
"QuarterOff2011Q1",-0.06472278328919,0.0864202953692086
"QuarterOff2011Q2",-0.0952714852115263,0.0823476928820962
"QuarterOff2011Q3",0.00915132001301706,0.0842127667097931
"QuarterOff2011Q4",-0.0530812843244327,0.0882199361420989
"Lambda",0.352336483757772,0.0336460107031252
