"value","s.e."
"(Intercept)",1.83349823217899,0.0792575273260697
"Quarters",-0.00895117799901547,0.00242691433431724
"ListAge",-0.00501919863883697,0.000647024050342586
"Floor",0.040678351343417,0.0344591024287123
"BldgClass2_ClassB",0.104168680827234,0.0365068322683376
"BldgClass3_ClassC",0.126531070850875,0.0402408566889414
"ST1_Net",-0.121085892864933,0.0444628843903909
"ST2_Between",0.109826280492734,0.0605501755376411
"ST3_FullService",-0.0101057725927343,0.044773311675572
"QuarterOff2005Q3",0.00766021588996872,0.0688927395571328
"QuarterOff2005Q4",0.0755370995069494,0.069050556892922
"QuarterOff2006Q1",-0.00239137211671699,0.071077832145778
"QuarterOff2006Q2",-0.0304607872191923,0.0711147901347241
"QuarterOff2006Q3",-0.0766970819899283,0.0722296825749743
"QuarterOff2006Q4",0.0223816615625829,0.0689103971824294
"QuarterOff2007Q1",0.101054151176065,0.0688198003332439
"QuarterOff2007Q2",0.00852885860556208,0.077621353609272
"QuarterOff2007Q3",-0.100106835715048,0.0755748393952481
"QuarterOff2007Q4",0.187757645073637,0.0711762431217799
"QuarterOff2008Q1",0.104273843832136,0.0729980057764789
"QuarterOff2008Q2",0.135765468834636,0.0711887983491601
"QuarterOff2008Q3",0.124604899801098,0.0697952327746528
"QuarterOff2008Q4",-0.0744005895965923,0.0739007379846758
"QuarterOff2009Q1",0.142005916625319,0.0701029193639068
"QuarterOff2009Q2",0.0855172743462813,0.0773548549580755
"QuarterOff2009Q3",0.00323876620567334,0.0690580795511458
"QuarterOff2009Q4",0.151309195969191,0.0691247690503576
"QuarterOff2010Q1",0.060789242229987,0.0705743310899499
"QuarterOff2010Q2",0.0389049597860293,0.0734092512687738
"QuarterOff2010Q3",0.0279898895415144,0.0729460471760409
"QuarterOff2010Q4",0.0633219051788022,0.0719975255769136
"QuarterOff2011Q1",0.0959132554765602,0.0684977976485491
"QuarterOff2011Q2",0.0533011387552468,0.0712761938307993
"QuarterOff2011Q3",0.0880015601648577,0.0693116632511079
"QuarterOff2011Q4",0.07418507760604,0.0709497338083399
"Lambda",0.412112447149466,0.0419183969452188
