"value","s.e."
"(Intercept)",1.35523572819754,0.125092019961309
"Quarters",-0.012410857348547,0.0022924707155271
"ListAge",-0.00886621195858417,0.000737966778010762
"Floor",0.245413433546204,0.0775445965384934
"BldgClass2_ClassB",0.188551435338847,0.0450179192835903
"BldgClass3_ClassC",0.250681870189845,0.0468069693896188
"ST1_Net",-0.2149447293348,0.0754138348020123
"ST2_Between",0.0177284111682197,0.0799812073014228
"ST3_FullService",-0.0199283298195546,0.0749090356593912
"QuarterOff2005Q3",0.0385465643195133,0.0683782095051244
"QuarterOff2005Q4",-0.0115658795804481,0.0597394283141824
"QuarterOff2006Q1",0.0519269621334656,0.0710765725547475
"QuarterOff2006Q2",0.125542242990862,0.0597549635377576
"QuarterOff2006Q3",0.119367266162078,0.0647046323136242
"QuarterOff2006Q4",0.156955597306703,0.0611467595686863
"QuarterOff2007Q1",0.138167781184287,0.0615282388050318
"QuarterOff2007Q2",0.0998940220504683,0.0662939547132539
"QuarterOff2007Q3",0.0837234901937176,0.0593375638823376
"QuarterOff2007Q4",0.120514830269925,0.0654626772573859
"QuarterOff2008Q1",-0.0121393919483603,0.0607978136871166
"QuarterOff2008Q2",0.168691416245825,0.0622192220824287
"QuarterOff2008Q3",0.094449320307022,0.0629258120578104
"QuarterOff2008Q4",0.0647735385905419,0.0678036848236619
"QuarterOff2009Q1",0.0772259115854467,0.0630825352709115
"QuarterOff2009Q2",0.0688227786179213,0.0662458605727283
"QuarterOff2009Q3",0.170362701539458,0.0611887618123043
"QuarterOff2009Q4",0.137146315053088,0.0589820859942724
"QuarterOff2010Q1",0.0726970155101683,0.0655338345619858
"QuarterOff2010Q2",0.122696563722342,0.0635413482579795
"QuarterOff2010Q3",-0.0020676262495986,0.0610886714018815
"QuarterOff2010Q4",-0.00696310291687842,0.0587836344855291
"QuarterOff2011Q1",0.118397253948186,0.0600049514216351
"QuarterOff2011Q2",0.0917762869992478,0.0626612296627517
"QuarterOff2011Q3",0.036044716929866,0.0569676436429549
"QuarterOff2011Q4",0.0822405222246845,0.0602338853307244
"Lambda",0.474473132574703,0.0320461738907069
