"value","s.e."
"(Intercept)",1.32508891789633,0.0707144743633327
"Quarters",-0.00824431133771372,0.00124573250446127
"ListAge",-0.00737264546529467,0.000471373447331226
"Floor",0.254410994584133,0.0598479890864604
"BldgClass2_ClassB",0.167061398632702,0.0261122836896304
"BldgClass3_ClassC",0.188524060701183,0.0268429265447818
"ST1_Net",-0.169839706557503,0.0207558416183862
"ST2_Between",0.0689526451308096,0.0237781775391156
"ST3_FullService",0.0157564274336328,0.0200100260652213
"QuarterOff2005Q3",0.0331005637028846,0.0303875165115685
"QuarterOff2005Q4",0.0256709533099885,0.0306584725123106
"QuarterOff2006Q1",-0.0392754371090922,0.0310440648499458
"QuarterOff2006Q2",0.0770116441064533,0.0311721517479003
"QuarterOff2006Q3",0.0686789542093787,0.0290500835250813
"QuarterOff2006Q4",0.0632066089679042,0.031811211410896
"QuarterOff2007Q1",0.079981513570627,0.0290419143296312
"QuarterOff2007Q2",0.0729005174435454,0.0296791613143994
"QuarterOff2007Q3",0.0689077680268327,0.0327888353675278
"QuarterOff2007Q4",0.0892244965295565,0.0326168754083869
"QuarterOff2008Q1",0.141280455533422,0.0296332304271617
"QuarterOff2008Q2",0.102901963715129,0.0311926570075835
"QuarterOff2008Q3",0.132508885036353,0.0296836645806771
"QuarterOff2008Q4",0.151858289281792,0.0312188873359448
"QuarterOff2009Q1",0.0834896319221772,0.0320164395207175
"QuarterOff2009Q2",0.0900180007280091,0.0321825441003382
"QuarterOff2009Q3",0.105192051553953,0.0291442926390226
"QuarterOff2009Q4",0.138536632151217,0.0287557103027281
"QuarterOff2010Q1",0.091173590643153,0.0297251029167893
"QuarterOff2010Q2",0.0721439584295614,0.0297901975166374
"QuarterOff2010Q3",0.0392636771761246,0.0288834391403583
"QuarterOff2010Q4",0.0346853242045034,0.0292023666568306
"QuarterOff2011Q1",0.0557118626923945,0.0282573726390443
"QuarterOff2011Q2",0.0760210263154713,0.0290786651866122
"QuarterOff2011Q3",0.0302540011493305,0.0288600797598851
"QuarterOff2011Q4",0.0693987621035185,0.0299093319685768
"Lambda",0.563660563751203,0.016759821800559
