"value","s.e."
"(Intercept)",3.01639966319297,0.273896573327765
"Quarters",-0.014255148588599,0.00204529302659121
"ListAge",-0.00538853839269768,0.000416371572155652
"Floor",0.0188167663038734,0.0399086884035688
"BldgClass2_ClassB",-0.557778403931732,0.267023185340102
"BldgClass3_ClassC",-0.577781059453401,0.266913980101792
"ST1_Net",-0.284685348623802,0.035425516107114
"ST2_Between",-0.14139494534263,0.0866227147023154
"ST3_FullService",-0.0384564277403176,0.034599790319402
"QuarterOff2005Q3",-0.0356200054471627,0.0415014423257999
"QuarterOff2005Q4",0.0144235327423218,0.0420204888346632
"QuarterOff2006Q1",-0.0142810417411398,0.0424362688767901
"QuarterOff2006Q2",0.0581348089373254,0.0406868577052682
"QuarterOff2006Q3",0.000302594121032258,0.0432702445463194
"QuarterOff2006Q4",0.0227090625998627,0.0443262218951224
"QuarterOff2007Q1",0.0916992626713422,0.0419259258469136
"QuarterOff2007Q2",0.0648024644338425,0.0442229929569252
"QuarterOff2007Q3",0.059237720375982,0.0479306787083509
"QuarterOff2007Q4",0.107536055625717,0.0456393140909282
"QuarterOff2008Q1",0.0866437698384787,0.0435593492741961
"QuarterOff2008Q2",0.185536471223394,0.0453733994443502
"QuarterOff2008Q3",0.15678352818061,0.0454746360982936
"QuarterOff2008Q4",0.107561061276338,0.0448072401134772
"QuarterOff2009Q1",0.0935617918783657,0.0443785035713752
"QuarterOff2009Q2",0.0439731821719062,0.0424348315247316
"QuarterOff2009Q3",-0.00940524923426561,0.0424144994500122
"QuarterOff2009Q4",0.0296657972674259,0.0417619965873278
"QuarterOff2010Q1",-0.00178426258435375,0.0410759062987235
"QuarterOff2010Q2",-0.0131456015129711,0.041313706967585
"QuarterOff2010Q3",-0.000299384980843484,0.0426607265333612
"QuarterOff2010Q4",-0.0526879623213545,0.0421132450022644
"QuarterOff2011Q1",-0.0390088764969339,0.0420556391624469
"QuarterOff2011Q2",-0.0698811209512071,0.0419116210687942
"QuarterOff2011Q3",-0.0360550147517961,0.0420287055349467
"QuarterOff2011Q4",-0.0322137273049897,0.0421067560662935
"Lambda",0.71338888880028,0.0217021544767489
