"value","s.e."
"(Intercept)",1.78495341819349,0.0586450215145721
"Quarters",-0.00128611657284921,0.00133101767734661
"ListAge",-0.00561726245281661,0.000421640363984846
"Floor",0.0661417569454325,0.0358317656484428
"BldgClass2_ClassB",0.1067105354046,0.0252887485573541
"BldgClass3_ClassC",0.117939320931658,0.0258674287557355
"ST1_Net",0.00438089758563579,0.0342771191574064
"ST2_Between",0.162271258043122,0.0418160912241575
"ST3_FullService",0.164293073717382,0.0338761567143623
"QuarterOff2005Q3",0.0532148075459792,0.0186717802363021
"QuarterOff2005Q4",0.0731202999008149,0.0199817888011456
"QuarterOff2006Q1",0.0748097781870387,0.0197843258004378
"QuarterOff2006Q2",0.114655411610254,0.0194879965371287
"QuarterOff2006Q3",0.135173449332377,0.0201980018248425
"QuarterOff2006Q4",0.154060523280699,0.0211634882720763
"QuarterOff2007Q1",0.162596865772199,0.0209500015766289
"QuarterOff2007Q2",0.164245634817925,0.0205835155478732
"QuarterOff2007Q3",0.242058374672708,0.0225161530861065
"QuarterOff2007Q4",0.226370014341165,0.022216942658228
"QuarterOff2008Q1",0.221082759583763,0.0207062547236417
"QuarterOff2008Q2",0.220068889520625,0.0213872209071635
"QuarterOff2008Q3",0.184147333145191,0.0209581595616769
"QuarterOff2008Q4",0.194749601537517,0.0222312034157651
"QuarterOff2009Q1",0.13369420984946,0.0211688922625413
"QuarterOff2009Q2",0.0942243412550161,0.0200560166247508
"QuarterOff2009Q3",0.0465612112005745,0.0198404238073986
"QuarterOff2009Q4",0.0115950729161529,0.0206471587308842
"QuarterOff2010Q1",-0.00885165223595382,0.0190465389401515
"QuarterOff2010Q2",-0.0268263315346719,0.0194460086658842
"QuarterOff2010Q3",-0.0350948517355593,0.0193919164216197
"QuarterOff2010Q4",-0.0892643324321799,0.0200636443372735
"QuarterOff2011Q1",-0.110662592213082,0.018792071800081
"QuarterOff2011Q2",-0.106414435466148,0.0194748858379731
"QuarterOff2011Q3",-0.104390322137618,0.0193428990692906
"QuarterOff2011Q4",-0.1083647862603,0.0203271506204397
"Lambda",0.819787219088673,0.0111926270949135
