"value","s.e."
"(Intercept)",2.13078426216416,0.0616896725791009
"Quarters",-0.0120588319049255,0.00172214077953098
"ListAge",-0.00410444788531379,0.000521655309352681
"Floor",0.0885535700195965,0.0256662973027623
"BldgClass2_ClassB",0.0473427930325197,0.0308708580152659
"BldgClass3_ClassC",0.0671937839898937,0.0317977401862757
"ST1_Net",0.0086577735285674,0.0358832646005686
"ST2_Between",0.151139530260617,0.0403490234190724
"ST3_FullService",0.13924125695566,0.0368732470923745
"QuarterOff2005Q3",0.0255141367958897,0.0399016799480965
"QuarterOff2005Q4",0.0165939051360557,0.039923410089536
"QuarterOff2006Q1",-0.0519790035354258,0.037580043768706
"QuarterOff2006Q2",0.0627168250775405,0.0382642110030105
"QuarterOff2006Q3",0.0526233370440906,0.040612262836571
"QuarterOff2006Q4",0.0765693695504874,0.0404500800547772
"QuarterOff2007Q1",0.0702943226851224,0.0361916373461381
"QuarterOff2007Q2",0.0721568504881694,0.036804788697447
"QuarterOff2007Q3",0.09252491823005,0.0376407544918421
"QuarterOff2007Q4",0.0952076134223357,0.0402688607722787
"QuarterOff2008Q1",0.0983064264638014,0.0377933374608583
"QuarterOff2008Q2",0.0332784144769059,0.0386295803083976
"QuarterOff2008Q3",0.0929748329922545,0.0378845531789488
"QuarterOff2008Q4",0.0603766593540405,0.0380914399540811
"QuarterOff2009Q1",0.108339570522824,0.0385068934209238
"QuarterOff2009Q2",0.00307653608765985,0.0391622845278952
"QuarterOff2009Q3",0.0492245983272521,0.0376223704815355
"QuarterOff2009Q4",0.0225262742832664,0.0366896023845269
"QuarterOff2010Q1",0.0360338348590608,0.0362573825971317
"QuarterOff2010Q2",0.0531981353703351,0.0365071885412742
"QuarterOff2010Q3",-0.00925339418227785,0.0361395076071061
"QuarterOff2010Q4",0.0282042490946585,0.0346180256207809
"QuarterOff2011Q1",0.0507056234099529,0.0349263434342803
"QuarterOff2011Q2",0.0193612345368555,0.034776085712556
"QuarterOff2011Q3",0.0485825618872353,0.0391860325831002
"QuarterOff2011Q4",0.0136801084995788,0.0351419813570217
"Lambda",0.695449430454306,0.0189479973175279
