"value","s.e."
"(Intercept)",3.19163852492178,0.108914498053203
"Quarters",-0.00534084004878248,0.00201251050557687
"ListAge",-0.00447879304371952,0.000544828140658799
"Floor",0.0294268286918682,0.00566198248174049
"BldgClass2_ClassB",-0.0532955205311936,0.0331097255874744
"BldgClass3_ClassC",-0.101926022736812,0.0381570290383156
"ST1_Net",-0.571518167576379,0.097080077958524
"ST2_Between",-0.347021293117907,0.100496114896532
"ST3_FullService",-0.256743918513128,0.0973411287613219
"QuarterOff2005Q3",-0.00361200428853855,0.048191866456637
"QuarterOff2005Q4",-0.0413130539761826,0.0509927856107536
"QuarterOff2006Q1",0.08619003389211,0.0504033463105016
"QuarterOff2006Q2",-0.0408377935022716,0.0507633364787554
"QuarterOff2006Q3",0.0831439449549824,0.0473223949663581
"QuarterOff2006Q4",-0.0294935228382517,0.0496214684483757
"QuarterOff2007Q1",0.0236806443712597,0.0464830904322023
"QuarterOff2007Q2",0.0316365698276369,0.0522787765940045
"QuarterOff2007Q3",0.103346662485244,0.0488988489706855
"QuarterOff2007Q4",0.0802229324921879,0.0502282259140676
"QuarterOff2008Q1",0.142783339278184,0.0477769515522076
"QuarterOff2008Q2",0.0266620990381554,0.052097951729339
"QuarterOff2008Q3",0.0839164881427571,0.050704248962335
"QuarterOff2008Q4",0.140880418092375,0.051529651901428
"QuarterOff2009Q1",0.0864950601388656,0.0510260008766359
"QuarterOff2009Q2",0.155763337973792,0.0533076754767228
"QuarterOff2009Q3",0.108318312351892,0.0505798017463676
"QuarterOff2009Q4",0.02699027741016,0.0493778549007155
"QuarterOff2010Q1",0.0550230681552885,0.0486582842656679
"QuarterOff2010Q2",0.0435552718948034,0.0498894598627419
"QuarterOff2010Q3",0.053663196090439,0.0507818810975787
"QuarterOff2010Q4",0.0291920472322565,0.0469176704234332
"QuarterOff2011Q1",0.0680552252179248,0.0491664248317731
"QuarterOff2011Q2",0.0442861368908574,0.0463969817089442
"QuarterOff2011Q3",0.0750508277648964,0.0471725334668637
"QuarterOff2011Q4",0.0507707338025721,0.0460068791531724
"Lambda",0.725006742148154,0.0331232110405255
