"value","s.e."
"(Intercept)",2.77358551016331,0.0392117864887387
"Quarters",-9.33152790827921e-05,0.00173096231297496
"ListAge",-0.00121979238076845,0.000389228503954276
"Floor",0.00432605183644235,0.00146237634621156
"BldgClass2_ClassB",-0.207327649973488,0.0197110950351963
"BldgClass3_ClassC",-0.351519831472689,0.0220557812534427
"ST1_Net",0.0624300514746638,0.0245080851097865
"ST2_Between",-0.0258811668688702,0.0271349013218366
"ST3_FullService",0.0769879136883472,0.0218170800192815
"QuarterOff2006Q2",-0.00762265429096753,0.0334785808140292
"QuarterOff2006Q3",0.0177295809141945,0.0354471517125146
"QuarterOff2006Q4",-0.0534898956362346,0.0358136120304215
"QuarterOff2007Q1",-0.0278769665634114,0.0338260013801735
"QuarterOff2007Q2",-0.0758351387106841,0.0416572316096806
"QuarterOff2007Q3",-0.0522510261399829,0.0326865660562108
"QuarterOff2007Q4",-0.0486750039543597,0.0355164487309002
"QuarterOff2008Q1",-0.00920643257267052,0.0348356123101797
"QuarterOff2008Q2",-0.0250195469240695,0.0382147930934272
"QuarterOff2008Q3",0.0151823213880766,0.0351180845772235
"QuarterOff2008Q4",0.0152734874726594,0.0381595804329142
"QuarterOff2009Q1",0.0450566223235965,0.0383441309216027
"QuarterOff2009Q2",0.00504966880244537,0.0367481638102695
"QuarterOff2009Q3",-0.0192728467996703,0.0396197978629095
"QuarterOff2009Q4",0.0486739606978585,0.0364257574284609
"QuarterOff2010Q1",0.00145094431723488,0.0355033045493008
"QuarterOff2010Q2",-0.0533592155249457,0.0356158687139926
"QuarterOff2010Q3",0.00131882456578165,0.0346738924206769
"QuarterOff2010Q4",-0.0526895234213083,0.035705872090389
"QuarterOff2011Q1",0.049570210967278,0.0341293721764914
"QuarterOff2011Q2",0.051634532437311,0.036345522257332
"QuarterOff2011Q3",0.0300666331011777,0.0356490668467029
"QuarterOff2011Q4",-0.015748264776347,0.0384961621770224
"Lambda",0.495486368019172,0.0297523036225781
