"value","s.e."
"(Intercept)",3.28909971525189,0.078705009527532
"Quarters",-0.000335640389812476,0.00245833712609174
"ListAge",-0.0078073131786408,0.000594048611174075
"Floor",-0.0743665089480747,0.0309758707650885
"BldgClass2_ClassB",-0.105104047901344,0.0341562751505176
"BldgClass3_ClassC",-0.14012743006197,0.0362318592993019
"ST1_Net",-0.0604661731709283,0.0446762846150683
"ST2_Between",-0.215434390346175,0.0689613540157887
"ST3_FullService",-0.271893001857758,0.0463016347648484
"QuarterOff2005Q3",-0.069272044858686,0.0596602386406244
"QuarterOff2005Q4",-0.0109505233961414,0.0612450621595449
"QuarterOff2006Q1",0.0273298422359491,0.0585945983304607
"QuarterOff2006Q2",-0.0243750557247193,0.0608205643562395
"QuarterOff2006Q3",0.035000888218896,0.0561080776698246
"QuarterOff2006Q4",0.142798132999228,0.0585365141247875
"QuarterOff2007Q1",0.125528791740763,0.0577741606836483
"QuarterOff2007Q2",0.162579551450254,0.0573622517772362
"QuarterOff2007Q3",0.134312103784992,0.0555229688374103
"QuarterOff2007Q4",0.0904326568594275,0.0604267208031304
"QuarterOff2008Q1",0.103541258570048,0.0615300816076124
"QuarterOff2008Q2",0.0824177729845511,0.0597400525004463
"QuarterOff2008Q3",0.109386583572881,0.0552290647210861
"QuarterOff2008Q4",0.0600771505864402,0.0545598674456415
"QuarterOff2009Q1",0.136321589922293,0.0556654345392865
"QuarterOff2009Q2",-0.00943208498687407,0.0532842164246867
"QuarterOff2009Q3",-0.00107976646003478,0.0543366175728708
"QuarterOff2009Q4",-0.0132851868949568,0.0533893148274011
"QuarterOff2010Q1",-0.0756602064507339,0.0533236789490701
"QuarterOff2010Q2",-0.134311416930356,0.0525058349557281
"QuarterOff2010Q3",-0.0582904540063104,0.054509727062393
"QuarterOff2010Q4",-0.102252926442287,0.0538884725161531
"QuarterOff2011Q1",-0.131872222022616,0.0530581892874849
"QuarterOff2011Q2",-0.103237741623938,0.0532882430119687
"QuarterOff2011Q3",-0.179917740014576,0.0535127361679805
"QuarterOff2011Q4",-0.109924581656484,0.0551384100458127
"Lambda",0.453319133678655,0.0221257520297966
