"value","s.e."
"(Intercept)",2.95624354815868,0.0925392906708214
"Quarters",-0.0116880181667139,0.00321966600020204
"ListAge",-0.0110341522990465,0.000805211423896964
"Floor",-0.00733338665740218,0.0349732823680475
"BldgClass2_ClassB",-0.0294905788930364,0.0596749489205719
"BldgClass3_ClassC",-0.0987510214808943,0.0623272451154049
"ST1_Net",0.0829538523555,0.0491266275230343
"ST2_Between",-0.0959024137526514,0.0656558660623471
"ST3_FullService",0.0955820333218278,0.0515910402095858
"QuarterOff2005Q3",-0.100805334202025,0.0645219580148544
"QuarterOff2005Q4",-0.0679253726110313,0.0594734011851829
"QuarterOff2006Q1",0.0388218163390235,0.0741206797184741
"QuarterOff2006Q2",0.0696478376060524,0.0618171033282578
"QuarterOff2006Q3",0.0512387217058727,0.0644720149548084
"QuarterOff2006Q4",0.0201769985525138,0.0699509815651962
"QuarterOff2007Q1",-0.0456514636401298,0.0710587331167949
"QuarterOff2007Q2",0.0711604019732342,0.081642075704261
"QuarterOff2007Q3",0.080239290043624,0.0722355072343888
"QuarterOff2007Q4",0.116984378834348,0.0771026387965233
"QuarterOff2008Q1",0.125464068741218,0.0666924268784198
"QuarterOff2008Q2",0.213316035282755,0.0635023344581807
"QuarterOff2008Q3",0.224392953784058,0.0659979083355253
"QuarterOff2008Q4",0.107207543680397,0.0703991447377016
"QuarterOff2009Q1",0.11313747281583,0.0649300984668268
"QuarterOff2009Q2",0.0213046759946624,0.060213240675131
"QuarterOff2009Q3",-0.0316386051972744,0.0646995863428167
"QuarterOff2009Q4",0.0254389437036498,0.0599180851048658
"QuarterOff2010Q1",0.105500482006087,0.0556695403631521
"QuarterOff2010Q2",0.0324083620763007,0.0568192881739736
"QuarterOff2010Q3",0.00248464344331983,0.0588375633848512
"QuarterOff2010Q4",0.00115023230852592,0.0568804472913474
"QuarterOff2011Q1",-0.0227477198887177,0.0595502698286354
"QuarterOff2011Q2",0.0117123571118534,0.0565929857547685
"QuarterOff2011Q3",0.0524608604506971,0.0586199529766562
"QuarterOff2011Q4",-0.0989181731944509,0.0589624660281378
"Lambda",0.468216167822436,0.0310966619769411
