"value","s.e."
"(Intercept)",3.36550627757925,0.125911177949417
"Quarters",-0.00255225437307114,0.00257888347182451
"ListAge",-0.0101340417335926,0.000736257819410254
"Floor",-0.0967498371337014,0.0494805772927141
"BldgClass2_ClassB",-0.403364766751251,0.0726778557538691
"BldgClass3_ClassC",-0.510020060837792,0.0736968629891827
"ST1_Net",0.0647750224279503,0.0792295719453045
"ST2_Between",0.0638195734679523,0.0976464601598656
"ST3_FullService",0.05375315690587,0.0822416218359671
"QuarterOff2005Q3",0.042860183362669,0.049813640614999
"QuarterOff2005Q4",0.101801731518846,0.0538294442188181
"QuarterOff2006Q1",0.051065897568566,0.0535097441180482
"QuarterOff2006Q2",0.0123309003498836,0.0513404409609245
"QuarterOff2006Q3",0.18080709018502,0.0483613894824633
"QuarterOff2006Q4",0.192114087183762,0.0578011830792506
"QuarterOff2007Q1",0.0900085707729555,0.0532384497303902
"QuarterOff2007Q2",0.137974851315698,0.0562323968795803
"QuarterOff2007Q3",0.171869896287643,0.0591234585384016
"QuarterOff2007Q4",0.280280740386617,0.0564143687392608
"QuarterOff2008Q1",0.0803731811222951,0.0533430523215514
"QuarterOff2008Q2",0.142650768036002,0.052434026383504
"QuarterOff2008Q3",0.274224131586951,0.053460992819621
"QuarterOff2008Q4",0.243499099110618,0.0558315693142703
"QuarterOff2009Q1",0.0760420646125997,0.0560108116015527
"QuarterOff2009Q2",0.11586484108095,0.0512914299250453
"QuarterOff2009Q3",0.15032274560703,0.0499944033495645
"QuarterOff2009Q4",0.0607701614505498,0.049854150008552
"QuarterOff2010Q1",0.0618368319485574,0.0476552494846801
"QuarterOff2010Q2",-0.00214264892344746,0.0502065238979861
"QuarterOff2010Q3",0.0466695196196509,0.0486924554436059
"QuarterOff2010Q4",-0.0074983540094924,0.0489606597332068
"QuarterOff2011Q1",-0.0446392209175966,0.0505112924952628
"QuarterOff2011Q2",-0.0442548780211012,0.0482547185890661
"QuarterOff2011Q3",-0.0462980348677332,0.0480526483195206
"QuarterOff2011Q4",-0.0151951796317522,0.0503751660902433
"Lambda",0.39237904159736,0.0215420249740653
