"value","s.e."
"(Intercept)",3.29267046645678,0.163894199106193
"Quarters",-0.000654654407847858,0.00352354905380966
"ListAge",-0.00285550103501804,0.000364600823381438
"Floor",-0.0557979982153529,0.0347446734219673
"BldgClass2_ClassB",-0.157637189072314,0.12883339062097
"BldgClass3_ClassC",-0.369538135995097,0.12896439258751
"ST1_Net",-0.0878177929245422,0.0661926028345045
"ST2_Between",-0.23651322044614,0.0853019897980759
"ST3_FullService",-0.234306282049741,0.0690389313593158
"QuarterOff2005Q3",0.0333007637571102,0.0762489010923802
"QuarterOff2005Q4",-0.0844307579612168,0.0733042167967733
"QuarterOff2006Q1",-0.0605039222590486,0.0758134444093947
"QuarterOff2006Q2",-0.0510751522055653,0.0771094845142877
"QuarterOff2006Q3",-0.0169426412563318,0.0729348259242121
"QuarterOff2006Q4",-0.0393090335753833,0.0825771026293828
"QuarterOff2007Q1",0.0591460416268366,0.0827249317747031
"QuarterOff2007Q2",0.00421904295406481,0.0727300894326438
"QuarterOff2007Q3",0.0623628857878534,0.0720816924381704
"QuarterOff2007Q4",0.0548827791673107,0.0709016315188674
"QuarterOff2008Q1",0.204552070918293,0.0723837065962244
"QuarterOff2008Q2",0.107640602867442,0.0706891516964103
"QuarterOff2008Q3",0.00318607087718742,0.0739634909604321
"QuarterOff2008Q4",0.081167733328076,0.0834204719634215
"QuarterOff2009Q1",0.0250363954189134,0.0775585217710132
"QuarterOff2009Q2",0.192873752214864,0.0745843096946578
"QuarterOff2009Q3",0.0362731836644688,0.0740807326513296
"QuarterOff2009Q4",-0.00227371046434243,0.0767125793804648
"QuarterOff2010Q1",0.0520338733478492,0.077625561635188
"QuarterOff2010Q2",0.0942491552207452,0.0743665598745285
"QuarterOff2010Q3",0.0760620289010722,0.0735795150347627
"QuarterOff2010Q4",0.0493503859503093,0.0755153828677823
"QuarterOff2011Q1",-0.0407216695704078,0.074099720187922
"QuarterOff2011Q2",-0.0518967022788365,0.0704719754096353
"QuarterOff2011Q3",0.0999710059678622,0.073207987041944
"QuarterOff2011Q4",0.00423439732203212,0.0751117369032753
"Lambda",0.392398793740457,0.0342091580279906
