"Quarters","Rent_EW","Rent_VW"
"CBSAID","13820","APT"
"2006Q1","4.26","4.26"
"2006Q2","11.13","4.818536585365"
"2006Q3","11.13","4.818536585365"
"2006Q4","11.13","4.818536585365"
"2007Q1","11.13","4.818536585365"
"2007Q2","18","18"
"2007Q3","18","18"
"2007Q4","18","18"
"2008Q1","18","18"
"2008Q2","18","18"
"2008Q3","18","18"
"2008Q4","19","19.310344827586"
"2009Q1","19","19.310344827586"
"2009Q2","19","19.310344827586"
"2009Q3","19","19.310344827586"
"2010Q1","20","20"
"2010Q2","18.105","18.130266666666"
"2010Q3","18.105","18.130266666666"
"2010Q4","16.21","16.21"
"2011Q2","16.21","16.21"
