"Quarters","Rent_EW","Rent_VW"
"CBSAID","24340","APT"
"2006Q3","16","16"
"2006Q4","16","16"
"2007Q1","16","16"
"2007Q2","16","16"
"2007Q3","16","16"
"2007Q4","16","16"
"2008Q1","16","16"
"2008Q2","14.5","14.5"
"2008Q3","13.5","13.5"
"2008Q4","13.5","13.5"
"2009Q1","13.5","13.5"
"2009Q2","14.975","14.975"
"2009Q3","14.975","14.975"
"2009Q4","14.416967509025","14.416967509025"
"2010Q1","14.416967509025","14.416967509025"
"2010Q2","13.32","13.32"
"2010Q3","13.01572327044","13.01572327044"
"2010Q4","13.01572327044","13.01572327044"
"2011Q1","13.01572327044","13.01572327044"
