"Quarters","Rent_EW","Rent_VW"
"CBSAID","34980","APT"
"2006Q2","20","20"
"2006Q3","14.833333333333","18.548808240507"
"2006Q4","14.833333333333","18.548808240507"
"2007Q1","14.833333333333","18.548808240507"
"2007Q2","14.833333333333","18.548808240507"
"2007Q3","15.75","19.237086568235"
"2007Q4","24.5","27.237519300051"
"2008Q1","24.5","26.081081081081"
"2008Q2","25","26.756756756756"
"2008Q3","25","28.119519324455"
"2008Q4","25","28.119519324455"
"2009Q1","25","28.119519324455"
"2009Q2","25","28.119519324455"
"2009Q3","25","28.119519324455"
"2009Q4","25","28.119519324455"
"2010Q1","21.25","21.278442152574"
"2010Q2","21.25","21.278442152574"
"2010Q3","12.5","12.5"
"2010Q4","12.5","12.5"
"2011Q4","21.84","21.84"
