"Quarters","Rent_EW","Rent_VW"
"CBSAID","35084","APT"
"2000Q3","3.2","3.2"
"2000Q4","3.2","3.2"
"2001Q1","3.2","3.2"
"2001Q2","3.2","3.2"
"2001Q3","3.2","3.2"
"2001Q4","3.2","3.2"
"2002Q4","16.92","16.92"
"2003Q1","16.919845857418","16.919845857418"
"2003Q2","16.919845857418","16.919845857418"
"2003Q3","16.919845857418","16.919845857418"
"2003Q4","16.919845857418","16.919845857418"
"2006Q4","24","24"
"2007Q1","24","24"
"2007Q2","24","24"
"2007Q3","24","24"
"2007Q4","24","24"
"2008Q1","24","24"
"2008Q2","24","24"
"2008Q3","30.5","27.37037037037"
"2008Q4","28.333333333333","26.757575757575"
"2009Q1","37","37"
"2009Q2","30.5","33.1"
"2009Q3","30.5","33.1"
"2009Q4","29","28.296248382923"
"2010Q1","29","28.296248382923"
"2010Q2","25","25.749163879598"
"2010Q3","26","26"
"2010Q4","38","40.512471655328"
"2011Q1","32.333333333333","31.619070809389"
"2011Q2","36","32.960244648318"
