"Quarters","Rent_EW","Rent_VW"
"CBSAID","49340","APT"
"2000Q1","4.949996132724","4.949996132724"
"2000Q2","4.949996132724","4.949996132724"
"2000Q3","4.949996132724","4.949996132724"
"2000Q4","8.474998066362","5.167972117077"
"2001Q1","8.474998066362","5.167972117077"
"2001Q2","13.82","13.82"
"2001Q3","13.82","13.82"
"2001Q4","13.82","13.82"
"2002Q1","13.82","13.82"
"2002Q2","13.82","13.82"
"2002Q3","13.82","13.82"
"2002Q4","13.82","13.82"
"2003Q1","13.82","13.82"
"2003Q2","10.68","5.295064935064"
"2003Q3","10.68","5.188808864265"
"2003Q4","10.93","5.680498614958"
"2004Q1","10.93","5.71865771812"
"2004Q2","10.93","5.71865771812"
"2004Q3","9.74506849315","3.396510067113"
"2004Q4","3.130136986301","3.130136986301"
"2005Q1","3.130136986301","3.130136986301"
"2005Q2","10.43","5.226122448979"
"2005Q3","4.5","4.5"
"2005Q4","4.5","4.5"
"2006Q1","4.5","4.5"
"2006Q2","4.5","4.5"
"2006Q3","4.5","4.5"
"2006Q4","4.5","4.5"
"2007Q1","7.615","4.696736842105"
"2007Q2","7.615","4.696736842105"
"2007Q3","7.615","4.696736842105"
"2007Q4","7.615","4.696736842105"
"2008Q1","4.5","4.5"
"2009Q4","3","3"
"2010Q1","7.5","3.082822594003"
"2010Q2","7.5","3.082822594003"
"2010Q3","3","3"
"2010Q4","3","3"
"2011Q1","3","3"
"2011Q2","3","3"
"2011Q3","3","3"
"2011Q4","3","3"
