"Quarters","Rent_EW","Rent_VW"
"CBSAID","41780","IND"
"2001Q1","4.25","4.25"
"2001Q2","4.25","4.25"
"2001Q3","4.25","4.25"
"2001Q4","4.25","4.25"
"2002Q1","4.25","4.25"
"2002Q2","4.25","4.25"
"2002Q3","4.25","4.25"
"2002Q4","4.25","4.25"
"2003Q1","4.25","4.25"
"2004Q1","2.375","2.261627906976"
"2004Q2","2.375","2.261627906976"
"2004Q3","2.375","2.261627906976"
"2004Q4","2.375","2.261627906976"
"2006Q1","3.5","3.5"
"2006Q2","5.016662422112","4.011755956637"
"2006Q3","5.382496816584","4.216179584171"
"2006Q4","5.244995922129","3.828357475578"
"2007Q1","5.244995922129","3.893594907106"
"2007Q2","5.244995922129","3.995816809229"
"2007Q3","5.445989054606","4.067458045585"
"2007Q4","5.445989054606","4.067458045585"
"2008Q1","5.228324212171","4.070175136475"
"2008Q2","4.517989054606","3.614262239346"
"2008Q3","5.014990878838","3.725851040762"
"2008Q4","4.774277896147","3.719516748452"
"2009Q1","4.651240555495","3.662922016167"
"2009Q2","4.246939838154","3.557183494528"
"2009Q3","4.017287352684","3.319556757995"
"2009Q4","4.080047808896","3.33783149158"
"2010Q1","3.97125804265","2.350876303362"
"2010Q2","4.329974808835","3.115694034826"
"2010Q3","4.228099353205","3.101869048341"
"2010Q4","4.051643869516","3.078190506992"
"2011Q1","4.010564471107","3.029503962282"
"2011Q2","4.05355622076","3.096356366993"
"2011Q3","4.043329684731","3.030732262043"
"2011Q4","4.362197972569","2.90149548651"
"2012Q1","4.352584431558","2.886937002649"
"2012Q2","4.833964843065","2.939545035946"
