"Quarters","Rent_VW"
"CBSAID","19740"
"2000Q1","851.347778320312"
"2000Q2","859.30126953125"
"2000Q3","867.327026367188"
"2000Q4","875.179138183594"
"2001Q1","883.016662597656"
"2001Q2","890.820129394531"
"2001Q3","897.521240234375"
"2001Q4","900.62109375"
"2002Q1","900.212768554688"
"2002Q2","897.168762207031"
"2002Q3","892.044311523438"
"2002Q4","885.776000976562"
"2003Q1","879.424072265625"
"2003Q2","869.524841308594"
"2003Q3","858.927673339844"
"2003Q4","846.315734863281"
"2004Q1","832.665893554688"
"2004Q2","821.692993164062"
"2004Q3","811.471435546875"
"2004Q4","809.700256347656"
"2005Q1","809.405212402344"
"2005Q2","811.013488769531"
"2005Q3","814.202270507812"
"2005Q4","818.599487304688"
"2006Q1","821.948425292969"
"2006Q2","828.101806640625"
"2006Q3","833.044250488281"
"2006Q4","838.712158203125"
"2007Q1","845.550659179688"
"2007Q2","853.1435546875"
"2007Q3","868.334594726562"
"2007Q4","878.428344726562"
"2008Q1","885.403076171875"
"2008Q2","890.993225097656"
"2008Q3","895.203796386719"
"2008Q4","891.146484375"
"2009Q1","881.769897460938"
"2009Q2","871.326049804688"
"2009Q3","861.754028320312"
"2009Q4","851.447937011719"
"2010Q1","844.880432128906"
"2010Q2","854.672180175781"
"2010Q3","881.506042480469"
"2010Q4","890.082885742188"
"2011Q1","898.928283691406"
"2011Q2","921.519653320312"
"2011Q3","946.688049316406"
"2011Q4","965.856567382812"
