"Quarters","Rent_VW"
"CBSAID","11340"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","4.302086353302"
"2006Q2","4.302086353302"
"2006Q3","3.815922498703"
"2006Q4","3.6662061214447"
"2007Q1","3.21088266372681"
"2007Q2","3.03784513473511"
"2007Q3","2.82481098175049"
"2007Q4","2.79642581939697"
"2008Q1","3.18762803077698"
"2008Q2","3.40948581695557"
"2008Q3","3.01660251617432"
"2008Q4","3.07999587059021"
"2009Q1","3.11605262756348"
"2009Q2","3.19174194335938"
"2009Q3","3.11722326278687"
"2009Q4","3.08590078353882"
"2010Q1","3.02691173553467"
"2010Q2","2.96390533447266"
"2010Q3","2.95620775222778"
"2010Q4","2.98367047309875"
"2011Q1","2.93275117874146"
"2011Q2","3.05646300315857"
"2011Q3","3.00797557830811"
"2011Q4","3.01255321502686"
