"Quarters","Rent_VW"
"CBSAID","12260"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3","3.68764281272888"
"2007Q4","3.72009992599487"
"2008Q1","3.59492325782776"
"2008Q2","3.56927251815796"
"2008Q3","3.48377180099487"
"2008Q4","3.47370147705078"
"2009Q1","3.4019660949707"
"2009Q2","3.38497138023376"
"2009Q3","3.27150225639343"
"2009Q4","3.1854875087738"
"2010Q1","3.06787157058716"
"2010Q2","3.04242539405823"
"2010Q3","2.66086006164551"
"2010Q4","2.64931535720825"
"2011Q1","2.63593554496765"
"2011Q2","2.70761704444885"
"2011Q3","2.84563064575195"
"2011Q4","2.87510371208191"
