"Quarters","Rent_VW"
"CBSAID","21780"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","3.06785368919373"
"2008Q1","3.15267133712769"
"2008Q2","3.11439418792725"
"2008Q3","3.02852392196655"
"2008Q4","3.1149308681488"
"2009Q1","3.11166429519653"
"2009Q2","2.97828984260559"
"2009Q3","3.00263357162476"
"2009Q4","2.98027324676514"
"2010Q1","2.92577958106995"
"2010Q2","2.89956593513489"
"2010Q3","2.88441896438599"
"2010Q4","2.79662466049194"
"2011Q1","2.81942558288574"
"2011Q2","2.76252126693726"
"2011Q3","2.71375036239624"
"2011Q4","2.69379162788391"
