"Quarters","Rent_VW"
"CBSAID","22180"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1","3.43711090087891"
"2007Q2","3.43069076538086"
"2007Q3","3.37563443183899"
"2007Q4","3.23758053779602"
"2008Q1","3.01809287071228"
"2008Q2","3.01515483856201"
"2008Q3","3.12193536758423"
"2008Q4","3.12193536758423"
"2009Q1","3.65261459350586"
"2009Q2","3.4599986076355"
"2009Q3","3.437175989151"
"2009Q4","3.31865835189819"
"2010Q1","3.26009368896484"
"2010Q2","3.18675804138184"
"2010Q3","3.16096758842468"
"2010Q4","3.14715623855591"
"2011Q1","3.23813009262085"
"2011Q2","3.15954661369324"
"2011Q3","3.18012285232544"
"2011Q4","3.19159078598022"
