"Quarters","Rent_VW"
"CBSAID","24580"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3","3.5173077583313"
"2007Q4","3.59823060035706"
"2008Q1","3.50600171089172"
"2008Q2","3.98306441307068"
"2008Q3","3.85206389427185"
"2008Q4","4.04375410079956"
"2009Q1","3.74295997619629"
"2009Q2","3.68741035461426"
"2009Q3","3.72455906867981"
"2009Q4","3.64787983894348"
"2010Q1","3.60069537162781"
"2010Q2","3.57950925827026"
"2010Q3","3.52706122398376"
"2010Q4","3.49375200271606"
"2011Q1","3.56730794906616"
"2011Q2","3.55414319038391"
"2011Q3","3.57586622238159"
"2011Q4","3.80434393882751"
