"Quarters","Rent_VW"
"CBSAID","24860"
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","3.0347797870636"
"2006Q2","3.05126690864563"
"2006Q3","3.04651141166687"
"2006Q4","3.01407074928284"
"2007Q1","3.04278874397278"
"2007Q2","2.9790050983429"
"2007Q3","3.0241003036499"
"2007Q4","3.07188105583191"
"2008Q1","3.09394240379333"
"2008Q2","3.06540393829346"
"2008Q3","3.08014822006226"
"2008Q4","3.07237243652344"
"2009Q1","3.06665897369385"
"2009Q2","3.18835234642029"
"2009Q3","3.09324526786804"
"2009Q4","3.15937733650208"
"2010Q1","3.07678723335266"
"2010Q2","3.13133192062378"
"2010Q3","3.13126492500305"
"2010Q4","3.15800786018372"
"2011Q1","3.10782766342163"
"2011Q2","3.13627791404724"
"2011Q3","3.14969348907471"
"2011Q4","3.14981889724731"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
