"Quarters","Rent_VW"
"CBSAID","26580"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","4.09139537811279"
"2008Q1","4.09139537811279"
"2008Q2","3.93094396591187"
"2008Q3","4.20857000350952"
"2008Q4","3.78921413421631"
"2009Q1","3.8184700012207"
"2009Q2","3.76243162155151"
"2009Q3","3.68763756752014"
"2009Q4","3.54338645935059"
"2010Q1","3.43850111961365"
"2010Q2","3.36439347267151"
"2010Q3","3.50301289558411"
"2010Q4","3.50301289558411"
"2011Q1","3.3916962146759"
"2011Q2","3.32830476760864"
"2011Q3","3.42714643478394"
"2011Q4","3.36314916610718"
