"Quarters","Rent_VW"
"CBSAID","28020"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","2.80094981193542"
"2006Q2","2.8591525554657"
"2006Q3","3.12270736694336"
"2006Q4","3.16220211982727"
"2007Q1","3.20325684547424"
"2007Q2","3.10644364356995"
"2007Q3","3.04453229904175"
"2007Q4","2.80865550041199"
"2008Q1","2.71754789352417"
"2008Q2","3.02939534187317"
"2008Q3","2.98516201972961"
"2008Q4","3.03653192520142"
"2009Q1","2.93512487411499"
"2009Q2","3.16533136367798"
"2009Q3","3.18611764907837"
"2009Q4","3.26150417327881"
"2010Q1","3.27263379096985"
"2010Q2","3.25986957550049"
"2010Q3","3.40491580963135"
"2010Q4","3.44833707809448"
"2011Q1","3.62295913696289"
"2011Q2","3.63061714172363"
"2011Q3","3.52825021743774"
"2011Q4","3.53611326217651"
