"Quarters","Rent_VW"
"CBSAID","31020"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","3.44959712028503"
"2006Q2","3.80923223495483"
"2006Q3","3.65678811073303"
"2006Q4","3.74635481834412"
"2007Q1","3.98957633972168"
"2007Q2","3.57918381690979"
"2007Q3","3.48172497749329"
"2007Q4","4.23932409286499"
"2008Q1","4.63204622268677"
"2008Q2","4.80295944213867"
"2008Q3","4.80313539505005"
"2008Q4","4.80289888381958"
"2009Q1","4.38554048538208"
"2009Q2","3.93430662155151"
"2009Q3","4.02851867675781"
"2009Q4","4.10438776016235"
"2010Q1","4.30804061889648"
"2010Q2","4.37833452224731"
"2010Q3","4.51179838180542"
"2010Q4","4.57100677490234"
"2011Q1","4.70326280593872"
"2011Q2","4.70607662200928"
"2011Q3","4.90757083892822"
"2011Q4","4.90038299560547"
