"Quarters","Rent_VW"
"CBSAID","31140"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1","3.38555860519409"
"2007Q2","3.43895101547241"
"2007Q3","3.41592597961426"
"2007Q4","3.4754638671875"
"2008Q1","3.43154406547546"
"2008Q2","3.42706823348999"
"2008Q3","3.40232729911804"
"2008Q4","3.41519999504089"
"2009Q1","3.48761105537415"
"2009Q2","3.45927405357361"
"2009Q3","3.45720505714417"
"2009Q4","3.45312809944153"
"2010Q1","3.47699546813965"
"2010Q2","3.46420383453369"
"2010Q3","3.41111397743225"
"2010Q4","3.36206364631653"
"2011Q1","3.40991926193237"
"2011Q2","3.41513824462891"
"2011Q3","3.456538438797"
"2011Q4","3.42828750610352"
