"Quarters","Rent_VW"
"CBSAID","34620"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1","3.52854871749878"
"2004Q2","2.78731417655945"
"2004Q3","2.77472758293152"
"2004Q4","2.77695202827454"
"2005Q1","2.74795413017273"
"2005Q2","2.81576013565063"
"2005Q3","2.81576013565063"
"2005Q4","2.87839531898499"
"2006Q1","2.70994853973389"
"2006Q2","2.68680429458618"
"2006Q3","2.69444179534912"
"2006Q4","2.69508576393127"
"2007Q1","3.00308299064636"
"2007Q2","2.96336555480957"
"2007Q3","2.99787473678589"
"2007Q4","2.84206366539001"
"2008Q1","3.01142072677612"
"2008Q2","2.85335731506348"
"2008Q3","2.81080460548401"
"2008Q4","2.25457167625427"
"2009Q1","2.26335787773132"
"2009Q2","2.26335787773132"
"2009Q3","2.16700983047485"
"2009Q4","2.17289018630981"
"2010Q1","1.79564142227173"
"2010Q2","1.74940896034241"
"2010Q3","1.76586055755615"
"2010Q4","1.7757248878479"
"2011Q1","1.84504163265228"
"2011Q2","1.86036157608032"
"2011Q3","1.84706258773804"
"2011Q4","1.84706258773804"
