"Quarters","Rent_VW"
"CBSAID","36260"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4","6.33297157287598"
"2006Q1","6.14960336685181"
"2006Q2","6.43996953964233"
"2006Q3","6.09878253936768"
"2006Q4","5.99312877655029"
"2007Q1","4.77812337875366"
"2007Q2","4.11414813995361"
"2007Q3","4.6042742729187"
"2007Q4","4.67254447937012"
"2008Q1","4.73982524871826"
"2008Q2","4.108567237854"
"2008Q3","4.21960687637329"
"2008Q4","4.35886192321777"
"2009Q1","4.21732711791992"
"2009Q2","4.01463222503662"
"2009Q3","3.95240354537964"
"2009Q4","3.89601540565491"
"2010Q1","3.5339891910553"
"2010Q2","3.68681001663208"
"2010Q3","3.68485379219055"
"2010Q4","3.77554512023926"
"2011Q1","3.67076802253723"
"2011Q2","3.66990733146667"
"2011Q3","3.63655757904053"
"2011Q4","3.59032297134399"
