"Quarters","Rent_VW"
"CBSAID","37900"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","2.94837498664856"
"2008Q1","3.28432035446167"
"2008Q2","3.47696685791016"
"2008Q3","3.50640320777893"
"2008Q4","3.49094700813293"
"2009Q1","3.66097474098206"
"2009Q2","3.72451305389404"
"2009Q3","3.75603914260864"
"2009Q4","3.79603457450867"
"2010Q1","3.78342247009277"
"2010Q2","3.65404033660889"
"2010Q3","3.43606066703796"
"2010Q4","3.42900323867798"
"2011Q1","3.40986299514771"
"2011Q2","3.45620918273926"
"2011Q3","3.43187117576599"
"2011Q4","3.431307554245"
