"Quarters","Rent_VW"
"CBSAID","39100"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3","5.19048738479614"
"2006Q4","5.10018062591553"
"2007Q1","5.0027027130127"
"2007Q2","5.20104074478149"
"2007Q3","5.29476404190063"
"2007Q4","5.24681568145752"
"2008Q1","5.31365394592285"
"2008Q2","5.1786675453186"
"2008Q3","4.91166925430298"
"2008Q4","4.94500303268433"
"2009Q1","4.90303039550781"
"2009Q2","4.72559356689453"
"2009Q3","4.82320737838745"
"2009Q4","5.03421449661255"
"2010Q1","5.05613565444946"
"2010Q2","5.01436281204224"
"2010Q3","5.02830171585083"
"2010Q4","4.92609262466431"
"2011Q1","5.17334079742432"
"2011Q2","5.14808940887451"
"2011Q3","5.10669851303101"
"2011Q4","4.91647815704346"
