"Quarters","Rent_VW"
"CBSAID","39900"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","4.38179063796997"
"2008Q1","4.22773027420044"
"2008Q2","4.26640176773071"
"2008Q3","4.30517292022705"
"2008Q4","4.32052993774414"
"2009Q1","4.31597280502319"
"2009Q2","4.83817052841187"
"2009Q3","4.83443546295166"
"2009Q4","4.93803405761719"
"2010Q1","4.97446155548096"
"2010Q2","4.66101360321045"
"2010Q3","4.79617404937744"
"2010Q4","4.69347667694092"
"2011Q1","4.65335321426392"
"2011Q2","4.59807872772217"
"2011Q3","4.60022354125977"
"2011Q4","4.03749227523804"
