"Quarters","Rent_VW"
"CBSAID","42220"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1","8.20836544036865"
"2007Q2","8.43328094482422"
"2007Q3","8.51802730560303"
"2007Q4","8.45081806182861"
"2008Q1","8.49815464019775"
"2008Q2","8.47315788269043"
"2008Q3","8.49149417877197"
"2008Q4","8.21760845184326"
"2009Q1","7.92483997344971"
"2009Q2","8.18307399749756"
"2009Q3","8.17568969726562"
"2009Q4","8.13398551940918"
"2010Q1","8.04231929779053"
"2010Q2","7.94121503829956"
"2010Q3","7.94576215744019"
"2010Q4","7.76483821868896"
"2011Q1","7.46213006973267"
"2011Q2","7.65086460113525"
"2011Q3","7.58097124099731"
"2011Q4","7.56945991516113"
