"Quarters","Rent_VW"
"CBSAID","44140"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","3.45563292503357"
"2006Q2","3.33509135246277"
"2006Q3","3.3757164478302"
"2006Q4","3.34072732925415"
"2007Q1","3.68950486183167"
"2007Q2","3.74181628227234"
"2007Q3","3.81712818145752"
"2007Q4","3.76565766334534"
"2008Q1","3.81374764442444"
"2008Q2","4.27072429656982"
"2008Q3","4.15773057937622"
"2008Q4","4.08650159835815"
"2009Q1","3.80192065238953"
"2009Q2","3.77624273300171"
"2009Q3","3.77029967308044"
"2009Q4","3.68958449363708"
"2010Q1","3.5623996257782"
"2010Q2","3.5058536529541"
"2010Q3","3.38303232192993"
"2010Q4","3.25318956375122"
"2011Q1","3.35499215126038"
"2011Q2","3.36142635345459"
"2011Q3","3.38073587417603"
"2011Q4","3.35281324386597"
