"Quarters","Rent_VW"
"CBSAID","44700"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2","4.68426275253296"
"2007Q3","4.37717819213867"
"2007Q4","4.38105487823486"
"2008Q1","4.4227352142334"
"2008Q2","4.37895631790161"
"2008Q3","4.4099383354187"
"2008Q4","4.44145488739014"
"2009Q1","4.39137840270996"
"2009Q2","4.34321641921997"
"2009Q3","4.18016815185547"
"2009Q4","4.00728416442871"
"2010Q1","3.99462270736694"
"2010Q2","4.03631925582886"
"2010Q3","3.84291887283325"
"2010Q4","3.84706783294678"
"2011Q1","3.83389925956726"
"2011Q2","3.80323576927185"
"2011Q3","3.82092070579529"
"2011Q4","3.81558513641357"
