"Quarters","Rent_VW"
"CBSAID","45060"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1","4.63040256500244"
"2007Q2","3.9116427898407"
"2007Q3","3.79205632209778"
"2007Q4","3.70897650718689"
"2008Q1","3.64377045631409"
"2008Q2","3.51505637168884"
"2008Q3","3.982253074646"
"2008Q4","3.91921281814575"
"2009Q1","3.81662130355835"
"2009Q2","3.87462449073792"
"2009Q3","3.9866259098053"
"2009Q4","3.8033754825592"
"2010Q1","3.70792865753174"
"2010Q2","3.66002511978149"
"2010Q3","3.6396005153656"
"2010Q4","3.68037557601929"
"2011Q1","3.60783791542053"
"2011Q2","3.5983555316925"
"2011Q3","3.60930037498474"
"2011Q4","3.55846095085144"
