"Quarters","Rent_VW"
"CBSAID","46060"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3","5.72530364990234"
"2005Q4","5.45199108123779"
"2006Q1","5.59127044677734"
"2006Q2","5.90747737884521"
"2006Q3","6.06673002243042"
"2006Q4","6.07532405853271"
"2007Q1","6.57127666473389"
"2007Q2","7.07877349853516"
"2007Q3","7.88307857513428"
"2007Q4","7.92291355133057"
"2008Q1","8.11821842193604"
"2008Q2","7.93093585968018"
"2008Q3","7.5261287689209"
"2008Q4","7.33197784423828"
"2009Q1","7.1237998008728"
"2009Q2","6.54758739471436"
"2009Q3","6.51073265075684"
"2009Q4","6.36480808258057"
"2010Q1","6.24500370025635"
"2010Q2","6.13397455215454"
"2010Q3","6.21912908554077"
"2010Q4","6.15561532974243"
"2011Q1","6.220046043396"
"2011Q2","6.25767850875854"
"2011Q3","6.18817138671875"
"2011Q4","6.18574190139771"
