"Quarters","Rent_VW"
"CBSAID","13140"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1",NA
"2006Q2",NA
"2006Q3",NA
"2006Q4",NA
"2007Q1",NA
"2007Q2",NA
"2007Q3",NA
"2007Q4","16.4730854034424"
"2008Q1","16.4103660583496"
"2008Q2","14.6535787582397"
"2008Q3","14.2970237731934"
"2008Q4","14.1710157394409"
"2009Q1","14.1829347610474"
"2009Q2","13.4260864257812"
"2009Q3","15.3870840072632"
"2009Q4","15.1218175888062"
"2010Q1","14.9321784973145"
"2010Q2","14.2322072982788"
"2010Q3","14.4156618118286"
"2010Q4","14.2581558227539"
"2011Q1","14.5813417434692"
"2011Q2","14.9232740402222"
"2011Q3","14.8971290588379"
"2011Q4","15.1976871490479"
